文件名,学科,研究类型,题目,链接,提交状态,同行评审状态,作者,资助者,同行评审者,发表时间
Engineering and technology8.htm,Engineering and technology,Brief Report,The SquAd derivation: A Square Additive approach to the turbulent Prandtl number,https://open-research-europe.ec.europa.eu/articles/3-43,N/A,"[version 3; peer review: 1 approved, 3 approved with reservations, 1 not approved]",Vincent Moreau,Horizon Europe Framework Programme; H2020 Euratom,Giacomo Barbi; Lucia Sirotti; Davide Modesti; Iztok Tiselj; Andrea Pucciarelli; Agustín Villa Ortiz,2023-09-13
Engineering and technology8.htm,Engineering and technology,Research Article,Engineering the thin film characteristics for optimal performance of superconducting kinetic inductance amplifiers using a rigorous modelling technique,https://open-research-europe.ec.europa.eu/articles/2-88,N/A,[version 2; peer review: 3 approved],Boon-Kok Tan; Faouzi Boussaha; Christine Chaumont; Joseph Longden; Javier Navarro Montilla,Horizon 2020 Framework Programme,Fausto Patricio Mena; Wenlei Shan; Martina Esposito,2023-09-13
Engineering and technology8.htm,Engineering and technology,Method Article,Towards the definition of metrics for the assessment of operational design domains,https://open-research-europe.ec.europa.eu/articles/3-146,N/A,"[version 1; peer review: 2 approved, 1 approved with reservations]",Bernhard Kaiser; Hendrik Weber; Johannes Hiller; Benjamin Engel,Horizon 2020 Framework Programme,Ulrich Eberle; Steven E. Shladover; Rasmus Adler,2023-09-11
Engineering and technology8.htm,Engineering and technology,Research Article,Hydrothermal carbonization (HTC) of dairy waste: effect of temperature and initial acidity on the composition and quality of solid and liquid products,https://open-research-europe.ec.europa.eu/articles/2-83,N/A,[version 3; peer review: 3 approved],Nidal Khalaf; Wenxuan Shi; Owen Fenton; Witold Kwapinski; J.J. Leahy,Horizon 2020 Framework Programme,Rafal Marcin Lukasik; Elena Díaz; Dimitris Kalderis,2023-09-06
Engineering and technology8.htm,Engineering and technology,Open Letter,"Community-driven governance of FAIRness assessment: an open issue, an open discussion",https://open-research-europe.ec.europa.eu/articles/2-146,N/A,"[version 2; peer review: 3 approved, 1 approved with reservations]",Mark D. Wilkinson; Susanna-Assunta Sansone; Eva Méndez; Romain David; Richard Dennis; David Hecker; Mari Kleemola; Carlo Lacagnina; Anastasija Nikiforova; Leyla Jael Castro,"Horizon Europe Framework Programme; Horizon 2020 Framework Programme; Innovative Medicines Initiative; UKRI DASH grant (MR/V038966/1); NFDI4DataScience, part of the German National Research Data Infrastructure funded by the Joint Science Conference (GWK) and the German Research Foundation (DFG), funding number NFDI 34/1; Wellcome; ELIXIR Interoperability Platform",Françoise Genova; Mark Leggott; Luiz Gadelha; Sheeba Samuel,2023-09-06
Engineering and technology8.htm,Engineering and technology,Research Article,An effective solution to boost generation from waves: Benefits of a hybrid energy storage system integration to wave energy converter in grid-connected systems,https://open-research-europe.ec.europa.eu/articles/2-40,N/A,"[version 2; peer review: 1 approved, 2 approved with reservations]",Linda Barelli; Gianni Bidini; Dana Alexandra Ciupageanu; Andrea Ottaviano; Dario Pelosi; Federico Gallorini; Giacomo Alessandri; Mairead Atcheson Cruz,Horizon 2020 Framework Programme,Luigi Piegari; Marzio Barresi; Arvind Parwal; Andrej Savin; Demián García-Violini,2023-09-04
Engineering and technology8.htm,Engineering and technology,Research Article,Modelling energy demand under discontinuities from an energy economic point-of-view,https://open-research-europe.ec.europa.eu/articles/3-127,N/A,[version 1; peer review: 4 approved with reservations],Reinhard Haas; Claudia Kemfert; Hans Auer; Amela Ajanovic; Sebastian Zwickl-Bernhard,Horizon 2020 Framework Programme,Tahsin BAKIRTAŞ; William Chung; Andre Plourde; Hoang Phong Le,2023-08-23
Engineering and technology8.htm,Engineering and technology,Method Article,Energy gamification: design and development of a user interface tool to upgrade social experience and energy literacy,https://open-research-europe.ec.europa.eu/articles/2-130,N/A,"[version 2; peer review: 1 approved, 3 approved with reservations]",João Cravinho; Ricardo Lucas; Miguel Brito; Daniel P. Albuquerque; Uways Mithoowani; Nuno M. Mateus,Horizon 2020 Framework Programme,Inma Rodriguez; Carlos Vaz De Carvalho; Georgios Mylonas; Georgios Pappas,2023-08-17
Engineering and technology8.htm,Engineering and technology,Research Article,Smart5Grid Solutions for enhanced TSO grid observability and manageability in massive RES penetration environment,https://open-research-europe.ec.europa.eu/articles/3-18,N/A,"[version 2; peer review: 1 approved, 2 approved with reservations, 1 not approved]",Daniel Shangov; Krassimir Vlachkov; Ralitsa Rumenova; Georgi Hristov; Atanas Velkov; Angelos Antonopoulos; Nicola Cadenelli; Nikolaos Tzanis; Dimitrios Brodimas; Michalis Rantopoulos; Ioannis Chochliouros; Vasiliki Vlahodimitropoulou,Horizon 2020 Framework Programme,Carlos Jesús Bernardos Cano; Younes Balboul; Stephen Okwudili Ugwuanyi; Athanasios Bachoumis,2023-07-26
Engineering and technology8.htm,Engineering and technology,Research Article,Secure integration of extremely resource-constrained nodes on distributed ROS2 applications,https://open-research-europe.ec.europa.eu/articles/3-113,N/A,"[version 1; peer review: 2 approved with reservations, 1 not approved]",Giann Spilere Nandi; David Pereira; José Proença; Eduardo Tovar; Antonio Rodriguez; Pablo Garrido,Horizon Europe Framework Programme; Fundação para a Ciência e a Tecnologia; NextGeneration EU; European Social Fund,Michel Albonico; Andrea Testa; Ipek Caliskanelli,2023-07-14
Engineering and technology8.htm,Engineering and technology,Research Article,Microstructural characterization of near-surface microstructures on rail wheels in service – an insight into “stratified surface layers”,https://open-research-europe.ec.europa.eu/articles/3-73,N/A,[version 2; peer review: 2 approved],Matthias Freisinger; Andreas Trausmuth,Horizon 2020 Framework Programme; Austrian COMET-Program,Christoph Gammer; Roumen H. Petrov,2023-07-03
Engineering and technology8.htm,Engineering and technology,Software Tool Article,Geothermal Energy Impact Estimator: A software application for estimating the life-cycle environmental impacts of geothermal energy,https://open-research-europe.ec.europa.eu/articles/3-2,N/A,[version 3; peer review: 3 approved],Andrea Paulillo; Xiaofei Cui; Paul Brown; Alberto Striolo; Paola Lettieri,Horizon 2020 Framework Programme,Giampaolo Manfrida; Astu Sam Pratiwi; Neil Burnside,2023-06-27
Engineering and technology8.htm,Engineering and technology,Open Letter,"Ontologies in digital twin: Methodology, lessons learned and practical approach",https://open-research-europe.ec.europa.eu/articles/3-105,N/A,"[version 1; peer review: 3 approved with reservations, 1 not approved]",Agnieszka Mikołajczyk; Raúl García-Castro; Rahul Tomar; Rehan Khan; Wojciech Teclaw; Bruno Fies; Jonas Schlenger,Horizon 2020 Framework Programme,Xiao Li; Edlira Kalemi Vakaj; Mohamad Kassem; Claudio Mirarchi,2023-06-22
Engineering and technology8.htm,Engineering and technology,Open Letter,"ENISA: 5G design and architecture of global mobile networks; threats, risks, vulnerabilities; cybersecurity considerations",https://open-research-europe.ec.europa.eu/articles/2-125,N/A,[version 3; peer review: 3 approved],R. Andrew Paskauskas,Horizon 2020 Framework Programme,Marina Settembre; Geir M. Køien; Shahzana Liaqat; Franco Callegati,2023-05-24
Engineering and technology8.htm,Engineering and technology,Research Article,Model predictive control of solar-coupled innovative heat pump: a comparison of economic and environmental optimizations in Latvia,https://open-research-europe.ec.europa.eu/articles/3-17,N/A,"[version 2; peer review: 1 approved, 2 approved with reservations]",Robin Roure; David Chèze; Mathieu Vallée,Horizon 2020 Framework Programme,Etienne Saloux; Daniel Muschick; Pengmin Hua,2023-05-17
Engineering and technology8.htm,Engineering and technology,Research Article,Synthesis and physical characteristics of narrow bandgap chalcogenide SnZrSe3,https://open-research-europe.ec.europa.eu/articles/2-138,N/A,[version 2; peer review: 2 approved],Rokas Kondrotas; Remigijus Juškėnas; Arūnas Krotkus; Vidas Pakštas; Artūras Suchodolskis; Algirdas Mekys; Marius Franckevičius; Martynas Talaikis; Katri Muska; Xiaofeng Li; Marit Kauk-Kuusik; Victor Kravtsov,Horizon 2020 Framework Programme; European Regional Development Fund; Estonian Research Council,Hao Zeng; Yi-Yang Sun,2023-05-17
Engineering and technology8.htm,Engineering and technology,Open Letter,ROOTS - Circular policies for changing the biowaste system,https://open-research-europe.ec.europa.eu/articles/3-78,N/A,[version 1; peer review: 2 approved],Miguel Ángel Suárez; Elisa Gambuzzi; José M. Soriano Disla; Gemma Castejón; Giulio Poggiaroni; James Ling,Horizon 2020 Framework Programme,Vinay Kumar; Benyamin Khoshnevisan,2023-05-16
Engineering and technology8.htm,Engineering and technology,Research Article,A microwave cavity design and optimisation for a homogeneous and faster drying process inside an industrial Agitated Nutsche Filter,https://open-research-europe.ec.europa.eu/articles/3-63,N/A,"[version 1; peer review: 1 approved with reservations, 2 not approved]",Sebastiano Schütz; Mauro Di Domenico; Samuel Poretti; Ricardo Monleone,Horizon 2020 Framework Programme,Ferruh Erdogdu; Pranjali Muley; Venkatesh Meda,2023-04-26
Engineering and technology9.htm,Engineering and technology,Method Article,An automated sonic tomography system for the inspection of historical masonry walls,https://open-research-europe.ec.europa.eu/articles/3-60,N/A,[version 1; peer review: 2 approved],Javier Ortega; Marnix F.L. Meersman; Sofía Aparicio; Juan Carlos Liébana; Rodrigo Martín; José Javier Anaya; Margarita González,"Horizon 2020 Framework Programme; ITEFI, CSIC",Marco Francesco Funari; Jorge Gosálbez Castillo,2023-04-21
Engineering and technology9.htm,Engineering and technology,Method Article,Design of an aircraft generator with radial force control,https://open-research-europe.ec.europa.eu/articles/2-73,N/A,[version 3; peer review: 2 approved],Christian Brecher; Stephan Neus; Marcus Gärtner; Hans-Martin Eckel; Maik Hoppert; Barry James; Chris Gerada; Michele Degano; Mohammad Reza Ilkhani; Mauro Di Nardo,Horizon 2020 Framework Programme,Steffen Ihlenfeldt; Rubén Lostado Lorza,2023-04-17
Engineering and technology9.htm,Engineering and technology,Research Article,DDS: integrating data analytics transformations in task-based workflows,https://open-research-europe.ec.europa.eu/articles/2-66,N/A,[version 2; peer review: 3 approved],Nihad Mammadli; Jorge Ejarque; Javier Alvarez; Rosa M. Badia,Horizon 2020 Framework Programme; Spanish Government; Generalitat de Catalunya,Peggy Lindner; Florina M. Ciorba; Ahmed Eleliemy; Rafael Ferreira da Silva,2023-04-11
Engineering and technology9.htm,Engineering and technology,Research Article,"Energy skills as a driver to sustainable construction: current status, needs and proposed actions",https://open-research-europe.ec.europa.eu/articles/3-44,N/A,[version 1; peer review: 2 approved with reservations],Lihnida Stojanovska-Georgievska; Tomo Cerovsek; Tomas Funtik; Ivana Sandeva; Aleksandar Krleski; Hristina Spasevska; Margarita Ginovska,Horizon 2020 Framework Programme,Zhengxuan Liu; Fida Hussain Siddiqui,2023-03-07
Engineering and technology9.htm,Engineering and technology,Method Article,Integrated secure distance bounding and hardware-based security: A case study for the insurance claim verification of farmers during COVID-19,https://open-research-europe.ec.europa.eu/articles/3-40,N/A,"[version 1; peer review: 2 approved, 1 approved with reservations, 1 not approved]",Alper Kanak; Salih Ergün; İbrahim Arif; Sercan Tanrıseven; Niyazi Uğur; Gert-Jan van Schaik; Atta Badii,Horizon 2020 Framework Programme,Baran Cürüklü; Milad Taleby Ahvanooey; Nikolaos Athanasios Anagnostopoulos; Abdulhamit Subasi,2023-02-23
Engineering and technology9.htm,Engineering and technology,Research Article,Calendar ageing modelling using machine learning: an experimental investigation on lithium ion battery chemistries,https://open-research-europe.ec.europa.eu/articles/2-96,N/A,[version 2; peer review: 2 approved],Burak Celen; Melik Bugra Ozcelik; Furkan Metin Turgut; Cisel Aras; Thyagesh Sivaraman; Yash Kotak; Christian Geisbauer; Hans-Georg Schweiger,Horizon 2020 Framework Programme,Suleyman Tosun; Min Ye,2023-02-22
Engineering and technology9.htm,Engineering and technology,Research Article,Multi-layer modelling of masonry structures strengthened through textile-reinforced mortar,https://open-research-europe.ec.europa.eu/articles/2-132,N/A,[version 2; peer review: 4 approved],Ingrid Boem,Horizon 2020 Framework Programme,Bartolomeo Pantò; Pietro Meriggi; Elisabetta Monaldo; Larisa Garcia-Ramonda; Lampros Koutas,2023-02-21
Engineering and technology9.htm,Engineering and technology,Research Article,Global sensitivity analysis to enhance the transparency and rigour of energy system optimisation modelling,https://open-research-europe.ec.europa.eu/articles/3-30,N/A,"[version 1; peer review: 1 approved, 2 approved with reservations]",William Usher; Trevor Barnes; Nandi Moksnes; Taco Niet,Horizon 2020 Framework Programme; Mitacs Globalink Research Award; UK AID Climate Compatible Growth,Stefano Moret; Tim Tröndle; Neha Patankar,2023-02-13
Engineering and technology9.htm,Engineering and technology,Research Article,Nonlinear field-control of terahertz waves in random media for spatiotemporal focusing,https://open-research-europe.ec.europa.eu/articles/2-32,N/A,[version 3; peer review: 2 approved],Vittorio Cecconi; Vivek Kumar; Alessia Pasquazi; Juan Sebastian Totero Gongora; Marco Peccianti,Horizon 2020 Framework Programme; Leverhulme Trust,Romain Peretti; Silvia Gentilini,2023-02-13
Engineering and technology9.htm,Engineering and technology,Review,Electric energy utilization in modern industrial environments,https://open-research-europe.ec.europa.eu/articles/3-4,N/A,"[version 1; peer review: 1 approved, 1 approved with reservations]",Ivan Todorović; Ivana Isakov; Goran Dobrić; Mileta Žarković,Horizon 2020 Framework Programme,Mladen S. Banjanin; Jelena Ponoćko,2023-01-06
Engineering and technology9.htm,Engineering and technology,Open Letter,Peer-to-peer energy communities: regulatory barriers in the EU context,https://open-research-europe.ec.europa.eu/articles/2-147,N/A,[version 1; peer review: 5 approved with reservations],Ilaria Pigliautile; Sylvia Breukers; Marten Boekelo; Pablo Carnero; Francesco Causone; Sara Arko; Sibilla Ferroni; Benedetta Pioppi; Anna Laura Pisello; Alma Solar; Job Swens; Elena Tarpani; Simona D'Oca,Horizon 2020 Framework Programme; Fondo Sociale Europeo REACT EU—Programma Operativo Nazionale Ricerca e Innovazione 2014–2020 (D.M. n.1062 del 10 agosto 2021),Ines Campos; Anna Gorbatcheva; Sweta Malik; Pei Huang; Yuekuan Zhou,2022-12-23
Engineering and technology9.htm,Engineering and technology,Method Article,Developing the multi-dimensional mobility divide index (MDI) as a methodology to assess the accessibility level of public transport systems,https://open-research-europe.ec.europa.eu/articles/2-143,N/A,[version 1; peer review: 2 approved],Cino Repetto; Leonardo Benzi; Martina Bagnasco; Tally Hatzakis; Florian Brinkmann; Laura Alčiauskaitė; Alexey (Aliaksei) Andrushevich; Alexandra Koenig,Horizon 2020 Framework Programme,Nicola Valentino Canessa; Evelina Budilovich,2022-12-21
Engineering and technology9.htm,Engineering and technology,Open Letter,Realizing a human-centered digitalization of the energy sector,https://open-research-europe.ec.europa.eu/articles/2-140,N/A,"[version 1; peer review: 1 approved, 2 approved with reservations]",Heather Jean Arghandeh Paudler; Valeria Jana Schwanitz; August Wierling,Horizon 2020 Framework Programme,Rafael Mayo-Garcia; Nicolò Rossetto; Siyu Ren,2022-12-15
Engineering and technology9.htm,Engineering and technology,Research Article,"Bio-oil production from biogenic wastes, the hydrothermal conversion step",https://open-research-europe.ec.europa.eu/articles/2-111,N/A,[version 2; peer review: 2 approved],Geert Haarlemmer; Anne Roubaud,Horizon 2020 Framework Programme,Daniele Castello; Yuanhui Zhang,2022-12-15
Engineering and technology9.htm,Engineering and technology,Open Letter,Energy communities: engaging people and technologies in the future of energy,https://open-research-europe.ec.europa.eu/articles/2-137,N/A,"[version 1; peer review: 1 approved, 2 approved with reservations]",Tatiana Loureiro; Paula Jiménez Argumosa; Aggeliki Aggeli; Marta Arniani; Julia Blanke; Blanca Barrios,Horizon 2020 Framework Programme,Mirna Gržanić; Richard Bull; Tineke van der Schoor,2022-12-12
Engineering and technology9.htm,Engineering and technology,Research Article,Identifying the performance and losses of a scroll compressor with vapour injection and R1234ze(E),https://open-research-europe.ec.europa.eu/articles/2-49,N/A,[version 2; peer review: 2 approved],George Meramveliotakis; George Kosmadakis; Sotirios Karellas,Horizon 2020 Framework Programme,Nicolas Tauveron; Christoph Wieland,2022-11-28
Engineering and technology9.htm,Engineering and technology,Method Article,"Application of a method for the sustainable planning and management of ground source heat pump systems in an urban environment, considering the effects of reciprocal thermal interference",https://open-research-europe.ec.europa.eu/articles/2-58,N/A,[version 2; peer review: 3 approved],Marco Belliardi; Linda Soma; Rodolfo Perego; Sebastian Pera; Eloisa Di Sipio; Angelo Zarrella; Laura Carnieletto; Antonio Galgaro; Borja Badenes; Riccardo Pasquali; David Bertermann; Burkhard Sanner,Horizon 2020 Framework Programme,Cristina Sáez Blázquez; Alessandro Casasso; Jian Lin,2022-11-25
Engineering and technology9.htm,Engineering and technology,Research Article,Towards an integrated automatic design process for robot swarms,https://open-research-europe.ec.europa.eu/articles/1-112,N/A,[version 2; peer review: 3 approved],Darko Bozhinoski; Mauro Birattari,Horizon 2020 Framework Programme; Wallonia-Brussels Federation; Fonds De La Recherche Scientifique (FNRS),Adam Schroeder; Alan Millard; Edmund Hunt; James Ward,2022-11-04
Engineering and technology9.htm,Engineering and technology,Method Article,A geospatial source selector for federated GeoSPARQL querying,https://open-research-europe.ec.europa.eu/articles/2-48,N/A,[version 2; peer review: 2 approved],Antonis Troumpoukis; Stasinos Konstantopoulos; Nefeli Prokopaki-Kostopoulou,Horizon 2020 Framework Programme,Ozgu Can; Markus Stocker,2022-10-06
Engineering and technology9.htm,Engineering and technology,Research Article,A Digital Image Correlation (DIC) prototype system for crack propagation monitoring in aircraft assemblies,https://open-research-europe.ec.europa.eu/articles/2-82,N/A,[version 2; peer review: 2 approved],LiKang Luan; Liam Crosbie; Silvain Michel; Erwin Hack,Horizon 2020 Framework Programme,Rachel A. Tomlinson; Umberto Galietti,2022-09-28
Humanities and the arts1.htm,Humanities and the arts,Research Article,A phylogenetic classification of the Je language family,https://open-research-europe.ec.europa.eu/articles/5-29,N/A,[version 2; peer review: 1 approved],Fabrício Ferraz Gerardi; Tim Wientzek; Ivan Roksandic; Jonas Gregorio de Souza; Fernando Orphão de Carvalho,Horizon 2020 Framework Programme,Simon J Greenhill,2025-03-27
Humanities and the arts1.htm,Humanities and the arts,Case Study,Assuming Agency: Women of nobility as forced migrants,https://open-research-europe.ec.europa.eu/articles/5-83,N/A,[version 1; peer review: awaiting peer review],Božena Miljić; Sirpa Salenius; Tatjana Šarić,Horizon Europe Framework Programme,,2025-03-27
Humanities and the arts1.htm,Humanities and the arts,Research Article,Transnational readings in the Trumpocene: Kim Stanley Robinson’s New York 2140 and Chris Beckett’s America City,https://open-research-europe.ec.europa.eu/articles/4-214,N/A,[version 2; peer review: 3 approved],Dolores Resano,Horizon 2020 Framework Programme,Carl Death; Luke Cooper; Matteo Nicolini,2025-03-24
Humanities and the arts1.htm,Humanities and the arts,Research Article,Materiality of Memorialization: Mapping Migrant Women's Landmarks in Europe,https://open-research-europe.ec.europa.eu/articles/4-234,N/A,"[version 2; peer review: 2 approved, 2 approved with reservations]",Bénédicte Miyamoto; Maija Ojala-Fulwood; Veronika Čapská; Fiona Eva Bakas; Igor Lyman; María Amor Barros-del Río; Maria Bostenaru Dan; Alba Comino; Pirita Frigren; Victoria Konstantinova; Heidi Martins; Lívia Prosinger; Pauliina Räsänen; Biljana Ristovska-Josifovska; Marie Ruiz,European Cooperation in Science and Technology,Eva Johanna Holmberg; Minki Sung; Mihai S. Rusu; Andrea Kocsis,2025-03-07
Humanities and the arts1.htm,Humanities and the arts,Research Article,Enacting semi-periphery: conditions of post-accession migration from Poland to the UK,https://open-research-europe.ec.europa.eu/articles/5-56,N/A,[version 1; peer review: 3 approved with reservations],Viktoryia Vaitovich,Horizon 2020 Framework Programme,Shaddin Almasri; Tomasz Komornicki; Kate Golebiowska,2025-02-26
Humanities and the arts1.htm,Humanities and the arts,Review,Paraphrase and translation: the importance of being close,https://open-research-europe.ec.europa.eu/articles/5-52,N/A,[version 1; peer review: 2 approved],Diana Santos; Anabela Barreiro,European Cooperation in Science and Technology; Fundação para a Ciência e a Tecnologia,Stella Markantonatou; Eman Abdel Reheem Amin,2025-02-18
Humanities and the arts1.htm,Humanities and the arts,Research Article,Gender discrimination in the Tarim Basin: A preliminary examination of the Kharoṣṭhī documents from the Niya site,https://open-research-europe.ec.europa.eu/articles/5-51,N/A,[version 1; peer review: 1 not approved],Raminder Kaur,Horizon 2020 Framework Programme,Tomas Larsen Høisæter,2025-02-13
Humanities and the arts1.htm,Humanities and the arts,Research Article,Lost in translation? Jáchym Topol’s The Devil’s Workshop and its local and transnational reader,https://open-research-europe.ec.europa.eu/articles/4-185,N/A,[version 2; peer review: 2 approved],Bernadette Ščasná,Horizon 2020 Framework Programme,Yasser Ahmed Gomaa; Mustafa Kirca,2025-02-12
Humanities and the arts1.htm,Humanities and the arts,Research Article,Gender aspects in parenthood conceptions of young Europeans. A critical reflection on the European Project B2-InF,https://open-research-europe.ec.europa.eu/articles/4-203,N/A,"[version 2; peer review: 1 approved, 1 approved with reservations]",Joke Struyf; Kristien Hens; Virginie Rozée; Manon Vialle; María López-Toribio; José Miguel Carrasco; Vera Dimitrievska; Jana Meloska-Petrova; Anna De Bayas Sanchez; Michaela Fuller; Francisco Güell,Horizon 2020 Framework Programme,Tanja Vuckovic Juros; Diego Lasio; Francesco Serri,2025-02-11
Humanities and the arts1.htm,Humanities and the arts,Research Article,Higher-Order Logical Reasoning in Preschool Children: Evidence from Intonation and Quantifier Scope,https://open-research-europe.ec.europa.eu/articles/5-34,N/A,[version 1; peer review: 1 approved],Uli Sauerland; Ayaka Sugawara; Kazuko Yatsushiro,Horizon 2020 Framework Programme; Japan Society for the Promotion of Science,Nopita Trihastutie,2025-02-03
Humanities and the arts1.htm,Humanities and the arts,Research Article,Bodies of evidence: The human remains from Flinders Petrie’s excavations in British Mandate Palestine,https://open-research-europe.ec.europa.eu/articles/5-22,N/A,"[version 1; peer review: 2 approved, 1 approved with reservations]",Rachael Thyrza Sparks; Nina Maaranen,Horizon 2020 Framework Programme,Francisco Curate; Ariel Gruenthal-Rankin; Maria Giovanna Belcastro,2025-01-23
Humanities and the arts1.htm,Humanities and the arts,Research Article,"The artificial intelligence cooperative: READ-COOP, Transkribus, and the benefits of shared community infrastructure for automated text recognition",https://open-research-europe.ec.europa.eu/articles/5-16,N/A,"[version 1; peer review: 1 approved with reservations, 1 not approved]",Melissa Terras; Bettina Anzinger; Paul Gooding; Günter Mühlberger; Joe Nockels; C. Annemieke Romein; Andy Stauder; Florian Stauder,Horizon 2020 Framework Programme; FP7 Cooperation; Arts and Humanities Research Council,R. Trebor Scholz; Thibault Clerice,2025-01-20
Humanities and the arts1.htm,Humanities and the arts,Essay,Global language geography and language history: challenges and opportunities,https://open-research-europe.ec.europa.eu/articles/4-213,N/A,"[version 2; peer review: 3 approved, 2 approved with reservations]",Matthias Urban,European Research Council,Stan Brunn; Guglielmo Inglese; Alexandre François; Tuomas Väisänen; Hedvig Skirgård,2025-01-20
Humanities and the arts1.htm,Humanities and the arts,Case Study,An ontology-driven knowledge graph for tourism information management,https://open-research-europe.ec.europa.eu/articles/5-1,N/A,[version 1; peer review: 3 approved with reservations],SUBHASHIS DAS; Mayukh Bagchi,Horizon 2020 Framework Programme,Hongyin Zhu; Rasha M. Ismail; Stefan Neubig,2025-01-08
Humanities and the arts1.htm,Humanities and the arts,Research Article,Diamonds in the rough - reconsidering the scientific and heritage value of heat-altered stones in prehistoric archaeology through a systematic literature review,https://open-research-europe.ec.europa.eu/articles/4-254,N/A,[version 1; peer review: 2 approved],Margherita Cantelli; Xavier Terradas; Didier Binder; Martine Regert; André Carlo Colonese,Horizon 2020 Framework Programme; “ICTA-UAB María de Maeztu'' Programme for Units of Excellence of the Spanish Ministry of Science and Innovation; EarlyFoods - Agència de Gestió d'Ajuts Universitaris i de Recerca de Catalunya,Marcelo Cardillo; Eduardo Paixão,2024-11-27
Humanities and the arts1.htm,Humanities and the arts,Research Article,"The “Archeology of the Light”:  A multiproxy, interdisciplinary and experimental approach to Paleolithic subterranean activities.",https://open-research-europe.ec.europa.eu/articles/4-216,N/A,[version 1; peer review: 3 approved with reservations],Mª Ángeles Medina-Alcaide,Horizon Europe Framework Programme,Sarah Wurz; Jerome Reynard; Isobel Wisher; Sally Hoare,2024-10-14
Humanities and the arts2.htm,Humanities and the arts,Case Study,COVID-19 and (ir)responsible (im)mobility: Reading counter-practices through Levinas and Derrida,https://open-research-europe.ec.europa.eu/articles/4-2,N/A,"[version 2; peer review: 2 approved, 1 approved with reservations]",Raffaela Puggioni,Horizon 2020 Framework Programme,Gaja Maestri; Arleen Ionescu; Carina van de Wetering; Thomas de Jong,2024-10-07
Humanities and the arts2.htm,Humanities and the arts,Open Letter,Reception Centers and Practices for Women Migrants,https://open-research-europe.ec.europa.eu/articles/4-199,N/A,[version 1; peer review: 2 approved with reservations],Marie Ruiz; Stellamarina Donato,European Cooperation in Science and Technology,Nicholas Harney; Elena Rubini,2024-09-09
Humanities and the arts2.htm,Humanities and the arts,Method Article,Faces Revealed Project and ancient Egyptian yellow coffins: A new methodology step-by-step,https://open-research-europe.ec.europa.eu/articles/4-193,N/A,[version 1; peer review: 4 approved],Stefania Mainieri,Horizon 2020 Framework Programme,Andrea D'Andrea; Mona Hess; Willeke Wendrich; Caroline Arbuckle MacLeod,2024-09-03
Humanities and the arts2.htm,Humanities and the arts,Open Letter,Women migrant workers’ (WMWS) deskilling,https://open-research-europe.ec.europa.eu/articles/4-186,N/A,[version 1; peer review: 3 approved with reservations],Marie Ruiz; Stellamarina Donato,European Cooperation in Science and Technology,Maria Bastida; Parvati Raghuram; Sara Verderber,2024-08-21
Humanities and the arts2.htm,Humanities and the arts,Essay,Beyond Vicarious Storytelling: How Level Telling Fields Could Help Create a Fair Narrative on Migration,https://open-research-europe.ec.europa.eu/articles/3-10,N/A,[version 2; peer review: 2 approved],Carolin Gebauer; Roy Sommer,Horizon 2020 Framework Programme,Mari Hatavara; Matti Hyvärinen; Stefan Rother,2024-08-20
Humanities and the arts2.htm,Humanities and the arts,Brief Report,Grouping sounds into evolving units for the purpose of historical language comparison,https://open-research-europe.ec.europa.eu/articles/4-31,N/A,"[version 2; peer review: 4 approved, 3 approved with reservations]",Johann-Mattis List; Nathan W. Hill; Frederic Blum; Cristian Juárez,Horizon 2020 Framework Programme; Horizon Europe Framework Programme; FP7 Ideas: European Research Council; Max-Planck-Gesellschaft,Erich Round; Jelena Prokić; Ewan Dunbar; Susanto Susanto; Ander Egurtzegi; Stephen Bothwell; Wei Zhao,2024-08-20
Humanities and the arts2.htm,Humanities and the arts,Essay,Designing speculative nonhuman-robot scenarios: An artistic approach,https://open-research-europe.ec.europa.eu/articles/4-182,N/A,"[version 1; peer review: 1 approved, 1 approved with reservations]",Ivan Iovine,European Cooperation in Science and Technology,Isabel Neto; Noor Stenfert Kroese,2024-08-14
Humanities and the arts2.htm,Humanities and the arts,Case Study,Playing with the cultural pilgrimage to stimulate tourism: the xFORMAL project on cultural heritage and informal learning.,https://open-research-europe.ec.europa.eu/articles/3-93,N/A,[version 3; peer review: 3 approved],Anna Siri; Annalisa Di Nuzzo; Simona Marchesini,Horizon 2020 Framework Programme,Piera Buonincontri; Estefanía López-Salas; Chiara Cecalupo,2024-08-13
Humanities and the arts2.htm,Humanities and the arts,Brief Report,Reading class: Digital evidence about fiction and social class,https://open-research-europe.ec.europa.eu/articles/4-180,N/A,[version 1; peer review: 2 not approved],Mathies Aarhus,Horizon Europe Framework Programme,Emanuele Castano; Tú Anh Hà,2024-08-13
Humanities and the arts2.htm,Humanities and the arts,Research Article,What is the IPCC’s assessment style and what shaped it?,https://open-research-europe.ec.europa.eu/articles/4-172,N/A,"[version 1; peer review: 1 approved, 2 approved with reservations, 2 not approved]",Gabriel Târziu,Horizon Europe Framework Programme,Tomàs Molina; Kari De Pryck; Hannah Hughes; David Francisco Bustos Usta; Ema Gusheva,2024-08-07
