题目,链接,发表时间,资助者个数,资助者名称,文章ID,标准化资助者名称,是否_H2020,是否_HEurope,是否_双重资助,是否_均无资助
A framework for early-stage sustainability assessment of innovation projects enabled by weighted sum multi-criteria decision analysis in the presence of uncertainty,https://open-research-europe.ec.europa.eu/articles/4-162,2024-08-05,2,Horizon Europe Framework Programme,4-162,horizon europe framework programme,False,True,False,False
A framework for early-stage sustainability assessment of innovation projects enabled by weighted sum multi-criteria decision analysis in the presence of uncertainty,https://open-research-europe.ec.europa.eu/articles/4-162,2024-08-05,2,UK Research and Innovation,4-162,uk research and innovation,False,True,False,False
Getting ready for the European Health Data Space (EHDS): IDERHA's plan to align with the latest EHDS requirements for the secondary use of health data,https://open-research-europe.ec.europa.eu/articles/4-160,2024-07-30,1,Horizon Europe Framework Programme,4-160,horizon europe framework programme,False,True,False,False
Leveraging Copernicus for Ice Block Detection: A Step Towards Safer Arctic Navigation,https://open-research-europe.ec.europa.eu/articles/4-159,2024-07-30,1,Horizon 2020 Framework Programme,4-159,horizon 2020 framework programme,True,False,False,False
Applications of Homomorphic Encryption in Secure Computation,https://open-research-europe.ec.europa.eu/articles/4-158,2024-07-29,1,European Cooperation in Science and Technology,4-158,european cooperation in science and technology,False,False,False,True
A model curriculum in sexual medicine for undergraduate education in Europe,https://open-research-europe.ec.europa.eu/articles/3-153,2024-07-29,1,European Cooperation in Science and Technology,3-153,european cooperation in science and technology,False,False,False,True
"Comparative analysis of identity management, access control, and authorization practices in public and private universities",https://open-research-europe.ec.europa.eu/articles/4-23,2024-07-29,1,European Cooperation in Science and Technology,4-23,european cooperation in science and technology,False,False,False,True
selfX: An open-source R package with autonomic abilities for data mining,https://open-research-europe.ec.europa.eu/articles/4-156,2024-07-29,1,Horizon Europe Framework Programme,4-156,horizon europe framework programme,False,True,False,False
The impact of anti-COVID measures on accommodation performance,https://open-research-europe.ec.europa.eu/articles/4-40,2024-07-29,1,Horizon 2020 Framework Programme,4-40,horizon 2020 framework programme,True,False,False,False
Standard operating procedure for the analysis of major ions in hydrothermal fluids by ion chromatography,https://open-research-europe.ec.europa.eu/articles/3-94,2024-07-29,1,Horizon 2020 Framework Programme,3-94,horizon 2020 framework programme,True,False,False,False
An increase in global daily precipitation records in response to global warming based on reanalysis and observations,https://open-research-europe.ec.europa.eu/articles/4-114,2024-07-29,1,Horizon Europe Framework Programme,4-114,horizon europe framework programme,False,True,False,False
Matching cities by their climate change measures and blockages profile for mutual-learning.,https://open-research-europe.ec.europa.eu/articles/3-116,2024-07-29,1,Horizon 2020 Framework Programme,3-116,horizon 2020 framework programme,True,False,False,False
Standard Operating Procedure for the determination of trace elements in hydrothermal fluids by Inductively Coupled Plasma Mass Spectrometry (ICP-MS),https://open-research-europe.ec.europa.eu/articles/3-90,2024-07-24,1,Horizon 2020 Framework Programme,3-90,horizon 2020 framework programme,True,False,False,False
Public perception and acceptance of CCUS: preliminary findings of a qualitative case study in Greece,https://open-research-europe.ec.europa.eu/articles/3-205,2024-07-24,1,Horizon 2020 Framework Programme,3-205,horizon 2020 framework programme,True,False,False,False
PyFMLab: Open-source software for atomic force microscopy microrheology data analysis,https://open-research-europe.ec.europa.eu/articles/3-187,2024-07-24,2,Horizon 2020 Framework Programme,3-187,horizon 2020 framework programme,True,False,False,False
PyFMLab: Open-source software for atomic force microscopy microrheology data analysis,https://open-research-europe.ec.europa.eu/articles/3-187,2024-07-24,2,European Research Council,3-187,european research council,True,False,False,False
"Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations",https://open-research-europe.ec.europa.eu/articles/4-152,2024-07-24,1,Horizon Europe Framework Programme,4-152,horizon europe framework programme,False,True,False,False
Demonstration of the potential use of off-grid renewable energy in agricultural production in rural Uganda,https://open-research-europe.ec.europa.eu/articles/4-150,2024-07-16,1,Horizon 2020 Framework Programme,4-150,horizon 2020 framework programme,True,False,False,False
Investor demand in syndicated EFSF/ESM bond issuances,https://open-research-europe.ec.europa.eu/articles/3-96,2024-07-16,2,Horizon 2020 Framework Programme,3-96,horizon 2020 framework programme,True,False,False,False
Investor demand in syndicated EFSF/ESM bond issuances,https://open-research-europe.ec.europa.eu/articles/3-96,2024-07-16,2,European Cooperation in Science and Technology,3-96,european cooperation in science and technology,True,False,False,False
Qualitative-archival research on migration is not just preservation,https://open-research-europe.ec.europa.eu/articles/4-149,2024-07-16,1,Horizon 2020 Framework Programme,4-149,horizon 2020 framework programme,True,False,False,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Gas and dust in nearby galaxies,https://open-research-europe.ec.europa.eu/articles/4-148,2024-07-12,4,Horizon Europe Framework Programme,4-148,horizon europe framework programme,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Gas and dust in nearby galaxies,https://open-research-europe.ec.europa.eu/articles/4-148,2024-07-12,4,Horizon 2020 Framework Programme,4-148,horizon 2020 framework programme,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Gas and dust in nearby galaxies,https://open-research-europe.ec.europa.eu/articles/4-148,2024-07-12,4,Deutsche Forschungsgemeinschaft,4-148,deutsche forschungsgemeinschaft,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Gas and dust in nearby galaxies,https://open-research-europe.ec.europa.eu/articles/4-148,2024-07-12,4,Agence Nationale de la Recherche,4-148,agence nationale de la recherche,True,True,True,False
Implications of Timanian thrust systems in the Barents Sea and Svalbard on using paleontological constraints for plate tectonics reconstructions,https://open-research-europe.ec.europa.eu/articles/3-189,2024-07-12,1,Horizon 2020 Framework Programme,3-189,horizon 2020 framework programme,True,False,False,False
Promoting physical activity and healthy diets by modifying the social and/or physical environment at local level: a scoping review of evidence-based policy actions.,https://open-research-europe.ec.europa.eu/articles/4-146,2024-07-12,1,Horizon 2020 Framework Programme,4-146,horizon 2020 framework programme,True,False,False,False
Advancing research on Blastocystis through a One Health approach,https://open-research-europe.ec.europa.eu/articles/4-145/v1,2024-07-12,1,European Cooperation in Science and Technology,4-145,european cooperation in science and technology,False,False,False,True
Developing neutral linguistic resources for the implementation of an automatic transformational analyzer,https://open-research-europe.ec.europa.eu/articles/4-144,2024-07-12,1,European Cooperation in Science and Technology,4-144,european cooperation in science and technology,False,False,False,True
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol,https://open-research-europe.ec.europa.eu/articles/3-179,2024-07-10,1,Horizon Europe Framework Programme,3-179,horizon europe framework programme,False,True,False,False
"Prevalence and individual level enablers and barriers for COVID-19 vaccine uptake among adult tuberculosis patients attending selected clinics in Nairobi County, Kenya",https://open-research-europe.ec.europa.eu/articles/4-137,2024-07-09,1,European and Developing Countries Clinical Trials Partnership,4-137,european and developing countries clinical trials partnership,False,False,False,True
Scientific Data Spaces - Experiences from the EGI-ACE project,https://open-research-europe.ec.europa.eu/articles/4-136,2024-07-09,1,Horizon 2020 Framework Programme,4-136,horizon 2020 framework programme,True,False,False,False
Rethinking GLAMs as commons: a conceptual framework,https://open-research-europe.ec.europa.eu/articles/3-157,2024-07-09,1,Horizon Europe Framework Programme,3-157,horizon europe framework programme,False,True,False,False
"Utilization of sexual and reproductive health services among young people living with HIV and attending selected HIV clinics in selected sub-counties of Nairobi, Kenya",https://open-research-europe.ec.europa.eu/articles/4-134/v1,2024-07-03,1,European and Developing Countries Clinical Trials Partnership,4-134,european and developing countries clinical trials partnership,False,False,False,True
"Euclide, the crow, the wolf and the pedestrian: distance metrics for linguistic typology",https://open-research-europe.ec.europa.eu/articles/3-104,2024-07-02,2,Horizon 2020 Framework Programme,3-104,horizon 2020 framework programme,True,False,False,False
"Euclide, the crow, the wolf and the pedestrian: distance metrics for linguistic typology",https://open-research-europe.ec.europa.eu/articles/3-104,2024-07-02,2,Deutsche Forschungsgemeinschaft,3-104,deutsche forschungsgemeinschaft,True,False,False,False
Advancements in integrated robotic sensing: A European perspective,https://open-research-europe.ec.europa.eu/articles/4-39,2024-07-02,1,Horizon 2020 Framework Programme,4-39,horizon 2020 framework programme,True,False,False,False
Machine Learning Inspired Nanowire Classification Method based on Nanowire Array Scanning Electron Microscope Images,https://open-research-europe.ec.europa.eu/articles/4-43,2024-06-28,1,Horizon 2020 Framework Programme,4-43,horizon 2020 framework programme,True,False,False,False
"Co-creation Processes and Urban Digital Twins in Sustainable and Smart Urban District Development - Case Kera District in Espoo, Finland",https://open-research-europe.ec.europa.eu/articles/4-130,2024-06-28,2,Horizon 2020 Framework Programme,4-130,horizon 2020 framework programme,True,False,False,False
"Co-creation Processes and Urban Digital Twins in Sustainable and Smart Urban District Development - Case Kera District in Espoo, Finland",https://open-research-europe.ec.europa.eu/articles/4-130,2024-06-28,2,REACT-EU,4-130,react-eu,True,False,False,False
"Comparison of cloud storage in terms of privacy and personal data - Sync, pCloud, IceDrive and Egnyte",https://open-research-europe.ec.europa.eu/articles/4-128,2024-06-28,1,European Cooperation in Science and Technology,4-128,european cooperation in science and technology,False,False,False,True
Should we be wary of the role of scientific publishers in Open Science?,https://open-research-europe.ec.europa.eu/articles/4-127,2024-06-28,2,Horizon 2020 Framework Programme,4-127,horizon 2020 framework programme,True,True,True,False
Should we be wary of the role of scientific publishers in Open Science?,https://open-research-europe.ec.europa.eu/articles/4-127,2024-06-28,2,Horizon Europe Framework Programme,4-127,horizon europe framework programme,True,True,True,False
"A linguistic approach to Natural Language Generation: The language spectrum, language models, and OpenLogos",https://open-research-europe.ec.europa.eu/articles/4-123,2024-06-24,1,European Cooperation in Science and Technology,4-123,european cooperation in science and technology,False,False,False,True
Is entrepreneurship a key factor in the development of European countries? A proposal for an innovation readiness environment (IRE) index,https://open-research-europe.ec.europa.eu/articles/4-12,2024-06-24,1,Horizon 2020 Framework Programme,4-12,horizon 2020 framework programme,True,False,False,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe,https://open-research-europe.ec.europa.eu/articles/4-122,2024-06-24,9,Horizon 2020 Framework Programme,4-122,horizon 2020 framework programme,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe,https://open-research-europe.ec.europa.eu/articles/4-122,2024-06-24,9,Horizon Europe Framework Programme,4-122,horizon europe framework programme,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe,https://open-research-europe.ec.europa.eu/articles/4-122,2024-06-24,9,European Research Council,4-122,european research council,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe,https://open-research-europe.ec.europa.eu/articles/4-122,2024-06-24,9,Agence Nationale de la Recherche,4-122,agence nationale de la recherche,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe,https://open-research-europe.ec.europa.eu/articles/4-122,2024-06-24,9,Spanish Ministry of Science and Innovation/State Agency of Research,4-122,spanish ministry of science and innovation/state agency of research,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe,https://open-research-europe.ec.europa.eu/articles/4-122,2024-06-24,9,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,4-122,nederlandse organisatie voor wetenschappelijk onderzoek,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe,https://open-research-europe.ec.europa.eu/articles/4-122,2024-06-24,9,Norges Forskningsråd,4-122,norges forskningsråd,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe,https://open-research-europe.ec.europa.eu/articles/4-122,2024-06-24,9,Agencia Estatal de Investigación del Ministerio de Ciencia e Innovación,4-122,agencia estatal de investigación del ministerio de ciencia e innovación,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Surveying the distant Universe,https://open-research-europe.ec.europa.eu/articles/4-122,2024-06-24,9,European Regional Development Fund,4-122,european regional development fund,True,True,True,False
Ground-penetrating radar scanning and historical interpretation of the location of the destroyed Epiphany Cathedral in Kyiv Brotherhood Monastery (Ukraine),https://open-research-europe.ec.europa.eu/articles/3-196,2024-06-24,2,NGO “Fond Velykyi Liokh”,3-196,ngo “fond velykyi liokh”,False,False,False,True
Ground-penetrating radar scanning and historical interpretation of the location of the destroyed Epiphany Cathedral in Kyiv Brotherhood Monastery (Ukraine),https://open-research-europe.ec.europa.eu/articles/3-196,2024-06-24,2,European Cooperation in Science and Technology,3-196,european cooperation in science and technology,False,False,False,True
A new roadmap for an age-inclusive workforce management practice and an international policies comparison,https://open-research-europe.ec.europa.eu/articles/4-85,2024-06-24,1,Horizon 2020 Framework Programme,4-85,horizon 2020 framework programme,True,False,False,False
The Mousterian in North-Western Tuscany: publishing fieldwork documentation leads to a new stratigraphical interpretation of the Piano di Mommio sites,https://open-research-europe.ec.europa.eu/articles/4-37,2024-06-21,1,HORIZON EUROPE Framework Programme,4-37,horizon europe framework programme,False,True,False,False
Positionality statements in science,https://open-research-europe.ec.europa.eu/articles/4-62,2024-06-21,1,Horizon Europe Framework Programme,4-62,horizon europe framework programme,False,True,False,False
Experimental insights on biofouling growth in marine renewable structures,https://open-research-europe.ec.europa.eu/articles/2-108,2024-06-19,1,Horizon 2020 Framework Programme,2-108,horizon 2020 framework programme,True,False,False,False
"Prospective cohort study on non-specific symptoms, cognitive, behavioral, sleep and mental health in relation to electronic media use and transportation noise among adolescents (HERMES): study protocol",https://open-research-europe.ec.europa.eu/articles/4-120,2024-06-19,4,Horizon Europe Framework Programme,4-120,horizon europe framework programme,False,True,False,False
"Prospective cohort study on non-specific symptoms, cognitive, behavioral, sleep and mental health in relation to electronic media use and transportation noise among adolescents (HERMES): study protocol",https://open-research-europe.ec.europa.eu/articles/4-120,2024-06-19,4,Bundesamt für Umwelt,4-120,bundesamt für umwelt,False,True,False,False
"Prospective cohort study on non-specific symptoms, cognitive, behavioral, sleep and mental health in relation to electronic media use and transportation noise among adolescents (HERMES): study protocol",https://open-research-europe.ec.europa.eu/articles/4-120,2024-06-19,4,MCIN/AEI/ 10.13039/501100011033,4-120,mcin/aei/ 10.13039/501100011033,False,True,False,False
"Prospective cohort study on non-specific symptoms, cognitive, behavioral, sleep and mental health in relation to electronic media use and transportation noise among adolescents (HERMES): study protocol",https://open-research-europe.ec.europa.eu/articles/4-120,2024-06-19,4,Generalitat de Catalunya,4-120,generalitat de catalunya,False,True,False,False
"The OPEVA Manifest: OPtimisation of Electrical Vehicle Autonomy, a Research and Innovation project",https://open-research-europe.ec.europa.eu/articles/4-118,2024-06-19,1,Horizon Europe Framework Programme,4-118,horizon europe framework programme,False,True,False,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium,https://open-research-europe.ec.europa.eu/articles/4-117,2024-06-13,8,Horizon 2020 Framework Programme,4-117,horizon 2020 framework programme,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium,https://open-research-europe.ec.europa.eu/articles/4-117,2024-06-13,8,Horizon Europe Framework Programme,4-117,horizon europe framework programme,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium,https://open-research-europe.ec.europa.eu/articles/4-117,2024-06-13,8,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,4-117,nederlandse organisatie voor wetenschappelijk onderzoek,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium,https://open-research-europe.ec.europa.eu/articles/4-117,2024-06-13,8,European High Performance Computing Joint Undertaking,4-117,european high performance computing joint undertaking,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium,https://open-research-europe.ec.europa.eu/articles/4-117,2024-06-13,8,Norges Forskningsråd,4-117,norges forskningsråd,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium,https://open-research-europe.ec.europa.eu/articles/4-117,2024-06-13,8,Fondazione Cariplo,4-117,fondazione cariplo,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium,https://open-research-europe.ec.europa.eu/articles/4-117,2024-06-13,8,ASI-INAF,4-117,asi-inaf,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium,https://open-research-europe.ec.europa.eu/articles/4-117,2024-06-13,8,Agence Nationale de la Recherche,4-117,agence nationale de la recherche,True,True,True,False
Understanding Syrian migration in Lebanon: a methodological framework,https://open-research-europe.ec.europa.eu/articles/3-137,2024-06-13,1,Horizon 2020 Framework Programme,3-137,horizon 2020 framework programme,True,False,False,False
Universal mental health training for frontline professionals: evaluation of pilot trial in Ukraine,https://open-research-europe.ec.europa.eu/articles/4-19,2024-06-13,2,Swiss Agency for Development and Cooperation (SDC) via GFA Consulting Group GmbH,4-19,swiss agency for development and cooperation (sdc) via gfa consulting group gmbh,False,True,False,False
Universal mental health training for frontline professionals: evaluation of pilot trial in Ukraine,https://open-research-europe.ec.europa.eu/articles/4-19,2024-06-13,2,HORIZON EUROPE Framework Programme,4-19,horizon europe framework programme,False,True,False,False
Design of robotic traverses on the Archytas Dome on the Moon,https://open-research-europe.ec.europa.eu/articles/4-116,2024-06-13,1,Horizon 2020 Framework Programme,4-116,horizon 2020 framework programme,True,False,False,False
What type of social media posts about sustainable construction is better for audience engagement?,https://open-research-europe.ec.europa.eu/articles/4-24,2024-06-13,4,Horizon 2020 Framework Programme,4-24,horizon 2020 framework programme,True,False,False,False
What type of social media posts about sustainable construction is better for audience engagement?,https://open-research-europe.ec.europa.eu/articles/4-24,2024-06-13,4,Republic of Slovenia (investment funding from the Republic of Slovenia and the European Regional Development Fund),4-24,republic of slovenia (investment funding from the republic of slovenia and the european regional development fund),True,False,False,False
What type of social media posts about sustainable construction is better for audience engagement?,https://open-research-europe.ec.europa.eu/articles/4-24,2024-06-13,4,Slovenian Research Agency and Austrian Science Fund (FWF) for funding the project J4-3087/I 5503-N,4-24,slovenian research agency and austrian science fund (fwf) for funding the project j4-3087/i 5503-n,True,False,False,False
What type of social media posts about sustainable construction is better for audience engagement?,https://open-research-europe.ec.europa.eu/articles/4-24,2024-06-13,4,"and Slovenian Research Agency, Infrastructure program IO – 0035.",4-24,"and slovenian research agency, infrastructure program io – 0035.",True,False,False,False
"Care Literacy for Culture, Nature, and Future",https://open-research-europe.ec.europa.eu/articles/4-115,2024-06-13,1,Horizon 2020 Framework Programme,4-115,horizon 2020 framework programme,True,False,False,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Resolving the hot and ionized Universe through the Sunyaev-Zeldovich effect,https://open-research-europe.ec.europa.eu/articles/4-113,2024-06-10,8,Horizon Europe Framework Programme,4-113,horizon europe framework programme,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Resolving the hot and ionized Universe through the Sunyaev-Zeldovich effect,https://open-research-europe.ec.europa.eu/articles/4-113,2024-06-10,8,Horizon 2020 Framework Programme,4-113,horizon 2020 framework programme,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Resolving the hot and ionized Universe through the Sunyaev-Zeldovich effect,https://open-research-europe.ec.europa.eu/articles/4-113,2024-06-10,8,Agence Nationale de la Recherche,4-113,agence nationale de la recherche,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Resolving the hot and ionized Universe through the Sunyaev-Zeldovich effect,https://open-research-europe.ec.europa.eu/articles/4-113,2024-06-10,8,Royal Society Te Apārangi,4-113,royal society te apārangi,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Resolving the hot and ionized Universe through the Sunyaev-Zeldovich effect,https://open-research-europe.ec.europa.eu/articles/4-113,2024-06-10,8,ASI-INAF,4-113,asi-inaf,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Resolving the hot and ionized Universe through the Sunyaev-Zeldovich effect,https://open-research-europe.ec.europa.eu/articles/4-113,2024-06-10,8,PRIN-MIUR,4-113,prin-miur,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Resolving the hot and ionized Universe through the Sunyaev-Zeldovich effect,https://open-research-europe.ec.europa.eu/articles/4-113,2024-06-10,8,Deutsche Forschungsgemeinschaft,4-113,deutsche forschungsgemeinschaft,True,True,True,False
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: Resolving the hot and ionized Universe through the Sunyaev-Zeldovich effect,https://open-research-europe.ec.europa.eu/articles/4-113,2024-06-10,8,Norges Forskningsråd,4-113,norges forskningsråd,True,True,True,False
Boundaries of the built environment: defining the significance of the material presence of spatial morphology in social life,https://open-research-europe.ec.europa.eu/articles/3-184,2024-06-10,2,Horizon Europe Framework Programme,3-184,horizon europe framework programme,False,True,False,False
Boundaries of the built environment: defining the significance of the material presence of spatial morphology in social life,https://open-research-europe.ec.europa.eu/articles/3-184,2024-06-10,2,University of Leeds Research Scholarship,3-184,university of leeds research scholarship,False,True,False,False
Labour migration of young women from the village to the capital in Bulgaria: A case study of woman servantry in Vakarel,https://open-research-europe.ec.europa.eu/articles/4-13,2024-06-10,1,COST Action Horizon 2020,4-13,cost action horizon 2020,True,False,False,False
Developing Inclusive Community Platforms: A Catalyst for DEI Community,https://open-research-europe.ec.europa.eu/articles/4-111/v1,2024-06-05,2,Horizon 2020 Framework Programme,4-111,horizon 2020 framework programme,True,False,False,False
Developing Inclusive Community Platforms: A Catalyst for DEI Community,https://open-research-europe.ec.europa.eu/articles/4-111/v1,2024-06-05,2,"Cabinet Office, Government of Japan",4-111,"cabinet office, government of japan",True,False,False,False
Large Language Models and OpenLogos: An Educational Case Scenario,https://open-research-europe.ec.europa.eu/articles/4-110,2024-06-05,1,European Cooperation in Science and Technology,4-110,european cooperation in science and technology,False,False,False,True
Therapeutic relationship elements and therapy session outcomes: Protocol for a longitudinal study of the patient’s perspective.,https://open-research-europe.ec.europa.eu/articles/3-133,2024-06-04,1,Horizon 2020 Framework Programme,3-133,horizon 2020 framework programme,True,False,False,False
Testing ethical impact assessment for nano risk governance,https://open-research-europe.ec.europa.eu/articles/3-170,2024-06-04,1,Horizon 2020 Framework Programme,3-170,horizon 2020 framework programme,True,False,False,False
Memorializing Women on the Move: A register of migrant women landmarks in Europe,https://open-research-europe.ec.europa.eu/articles/4-109/v1,2024-06-04,1,European Cooperation in Science and Technology,4-109,european cooperation in science and technology,False,False,False,True
The Beating Heart of Untapped Business Opportunities for Additive Manufacturing,https://open-research-europe.ec.europa.eu/articles/3-143,2024-06-04,2,Horizon 2020 Framework Programme,3-143,horizon 2020 framework programme,True,True,True,False
The Beating Heart of Untapped Business Opportunities for Additive Manufacturing,https://open-research-europe.ec.europa.eu/articles/3-143,2024-06-04,2,HORIZON EUROPE European Innovation Council,3-143,horizon europe european innovation council,True,True,True,False
Measuring the psychological burden of women with pelvic floor complaints: The psychometric characteristics of a new instrument,https://open-research-europe.ec.europa.eu/articles/3-83,2024-06-03,1,European Cooperation in Science and Technology,3-83,european cooperation in science and technology,False,False,False,True
Parent attitudes towards data sharing in developmental science,https://open-research-europe.ec.europa.eu/articles/3-182,2024-06-03,6,Horizon 2020 Framework Programme,3-182,horizon 2020 framework programme,True,False,False,False
Parent attitudes towards data sharing in developmental science,https://open-research-europe.ec.europa.eu/articles/3-182,2024-06-03,6,Autism Speaks,3-182,autism speaks,True,False,False,False
Parent attitudes towards data sharing in developmental science,https://open-research-europe.ec.europa.eu/articles/3-182,2024-06-03,6,Medical Research Council,3-182,medical research council,True,False,False,False
Parent attitudes towards data sharing in developmental science,https://open-research-europe.ec.europa.eu/articles/3-182,2024-06-03,6,Simons Foundation Autism Research Initiative,3-182,simons foundation autism research initiative,True,False,False,False
Parent attitudes towards data sharing in developmental science,https://open-research-europe.ec.europa.eu/articles/3-182,2024-06-03,6,Innovative Medicines Initiative,3-182,innovative medicines initiative,True,False,False,False
Parent attitudes towards data sharing in developmental science,https://open-research-europe.ec.europa.eu/articles/3-182,2024-06-03,6,European Federation of Pharmaceutical Industries and Associations,3-182,european federation of pharmaceutical industries and associations,True,False,False,False
Exploring our relationship with nature: A modified-Delphi study protocol,https://open-research-europe.ec.europa.eu/articles/4-107,2024-05-30,1,Horizon 2020 Framework Programme,4-107,horizon 2020 framework programme,True,False,False,False
Health system responsiveness to the mental health needs of Syrian refugees: mixed-methods rapid appraisals in eight host countries in Europe and the Middle East,https://open-research-europe.ec.europa.eu/articles/3-14,2024-05-30,1,Horizon 2020 Framework Programme,3-14,horizon 2020 framework programme,True,False,False,False
Underground hydrogen storage: The techno-economic perspective,https://open-research-europe.ec.europa.eu/articles/4-17,2024-05-29,1,Horizon 2020 Framework Programme,4-17,horizon 2020 framework programme,True,False,False,False
"Establishment and development of the Center of Plant Systems Biology and Biotechnology in Plovdiv, Bulgaria",https://open-research-europe.ec.europa.eu/articles/3-140,2024-05-29,3,Horizon 2020 Framework Programme,3-140,horizon 2020 framework programme,True,False,False,False
"Establishment and development of the Center of Plant Systems Biology and Biotechnology in Plovdiv, Bulgaria",https://open-research-europe.ec.europa.eu/articles/3-140,2024-05-29,3,European Regional Development Fund,3-140,european regional development fund,True,False,False,False
"Establishment and development of the Center of Plant Systems Biology and Biotechnology in Plovdiv, Bulgaria",https://open-research-europe.ec.europa.eu/articles/3-140,2024-05-29,3,Bulgarian National Science Fund,3-140,bulgarian national science fund,True,False,False,False
Open Problems in Computational Historical Linguistics,https://open-research-europe.ec.europa.eu/articles/3-201,2024-05-29,2,Horizon Europe Framework Programme,3-201,horizon europe framework programme,False,True,False,False
Open Problems in Computational Historical Linguistics,https://open-research-europe.ec.europa.eu/articles/3-201,2024-05-29,2,Max-Planck-Gesellschaft,3-201,max-planck-gesellschaft,False,True,False,False
"Translation Notes: Heidegger, Derrida, and the Chance for (a) Philosophy",https://open-research-europe.ec.europa.eu/articles/4-25,2024-05-28,1,Horizon Europe Framework Programme,4-25,horizon europe framework programme,False,True,False,False
Alrecon: computed tomography reconstruction web application based on Solara,https://open-research-europe.ec.europa.eu/articles/4-54,2024-05-28,1,Horizon 2020 Framework Programme,4-54,horizon 2020 framework programme,True,False,False,False
"Inter-array cabling optimization in offshore wind power plants, a new reliability indicator for radial grids",https://open-research-europe.ec.europa.eu/articles/3-214,2024-05-28,1,Horizon 2020 Framework Programme,3-214,horizon 2020 framework programme,True,False,False,False
OpenLogos in the context of custom language models for the business sector: A historical perspective on the roots of natural language generation,https://open-research-europe.ec.europa.eu/articles/4-104,2024-05-28,1,European Cooperation in Science and Technology,4-104,european cooperation in science and technology,False,False,False,True
Vortex Circular Dichroism: An experimental technique to assess the scalar/vectorial regime of diffraction,https://open-research-europe.ec.europa.eu/articles/2-142,2024-05-22,1,Horizon 2020 Framework Programme,2-142,horizon 2020 framework programme,True,False,False,False
"Quasi-static and dynamic mechanical properties of a linoleic acid-modified, low-modulus bone cement for spinal applications",https://open-research-europe.ec.europa.eu/articles/3-203,2024-05-21,2,Horizon 2020 Framework Programme,3-203,horizon 2020 framework programme,True,False,False,False
"Quasi-static and dynamic mechanical properties of a linoleic acid-modified, low-modulus bone cement for spinal applications",https://open-research-europe.ec.europa.eu/articles/3-203,2024-05-21,2,EIT Health,3-203,eit health,True,False,False,False
"Multi3Generation: Multitask, Multilingual, and Multimodal Language Generation",https://open-research-europe.ec.europa.eu/articles/3-176,2024-05-21,4,Spanish Government,3-176,spanish government,False,False,False,True
"Multi3Generation: Multitask, Multilingual, and Multimodal Language Generation",https://open-research-europe.ec.europa.eu/articles/3-176,2024-05-21,4,Generalitat Valenciana,3-176,generalitat valenciana,False,False,False,True
"Multi3Generation: Multitask, Multilingual, and Multimodal Language Generation",https://open-research-europe.ec.europa.eu/articles/3-176,2024-05-21,4,Swedish Research Council,3-176,swedish research council,False,False,False,True
