标题;链接;作者;机构;国家;大学
Use of organic fertilizers in solar photo-Fenton process as potential technology to remove pineapple processing wastewater in Costa Rica;https://open-research-europe.ec.europa.eu/articles/2-105;Dayatri Vanessa Bolaños Picado;Escuela de Ingeniería Química, Universidad de Costa Rica, San José de Costa Rica, 11501-2060;Costa Rica;Universidad de Costa Rica
Use of organic fertilizers in solar photo-Fenton process as potential technology to remove pineapple processing wastewater in Costa Rica;https://open-research-europe.ec.europa.eu/articles/2-105;Mario Masis Mora;Centro de Investigación en Contaminación Ambiental, Universidad de Costa Rica, San José de Costa Rica, 11502;Costa Rica;Universidad de Costa Rica
Use of organic fertilizers in solar photo-Fenton process as potential technology to remove pineapple processing wastewater in Costa Rica;https://open-research-europe.ec.europa.eu/articles/2-105;Esteban Duran Herrera;Escuela de Ingeniería Química, Universidad de Costa Rica, San José de Costa Rica, 11501-2060;Costa Rica;Universidad de Costa Rica
Use of organic fertilizers in solar photo-Fenton process as potential technology to remove pineapple processing wastewater in Costa Rica;https://open-research-europe.ec.europa.eu/articles/2-105;Luís Fernando Pérez Mercado;Centro de Aguas y Saneamiento Ambiental, Universidad Mayor de San Simón de Cochabamba, Cochabamba, JV44+W59;Bolivia;Universidad Mayor de San Simón de Cochabamba
Use of organic fertilizers in solar photo-Fenton process as potential technology to remove pineapple processing wastewater in Costa Rica;https://open-research-europe.ec.europa.eu/articles/2-105;Núria López Vinent;Department of Chemical Engineering and Analytical Chemistry, Faculty of Chemistry, Universitat de Barcelona, Barcelona, 08028;Spain;Universitat de Barcelona
Use of organic fertilizers in solar photo-Fenton process as potential technology to remove pineapple processing wastewater in Costa Rica;https://open-research-europe.ec.europa.eu/articles/2-105;Alberto Cruz Alcalde;Department of Chemical Engineering and Analytical Chemistry, Faculty of Chemistry, Universitat de Barcelona, Barcelona, 08028;Spain;Universitat de Barcelona
Use of organic fertilizers in solar photo-Fenton process as potential technology to remove pineapple processing wastewater in Costa Rica;https://open-research-europe.ec.europa.eu/articles/2-105;María Mercedes Alvarez Caero;Centro de Aguas y Saneamiento Ambiental, Universidad Mayor de San Simón de Cochabamba, Cochabamba, JV44+W59;Bolivia;Universidad Mayor de San Simón de Cochabamba
Use of organic fertilizers in solar photo-Fenton process as potential technology to remove pineapple processing wastewater in Costa Rica;https://open-research-europe.ec.europa.eu/articles/2-105;Carlos Esteban Rodríguez Rodríguez;Centro de Investigación en Contaminación Ambiental, Universidad de Costa Rica, San José de Costa Rica, 11502;Costa Rica;Universidad de Costa Rica
Use of organic fertilizers in solar photo-Fenton process as potential technology to remove pineapple processing wastewater in Costa Rica;https://open-research-europe.ec.europa.eu/articles/2-105;Carmen Sans Mazón;Department of Chemical Engineering and Analytical Chemistry, Faculty of Chemistry, Universitat de Barcelona, Barcelona, 08028;Spain;Universitat de Barcelona
A pilot study of risk-stratified cervical cancer screening;https://open-research-europe.ec.europa.eu/articles/1-84;Jiangrong Wang;Department of Laboratory Medicine, Karolinska Institute, SE-141 52 Stockholm;Sweden;
A pilot study of risk-stratified cervical cancer screening;https://open-research-europe.ec.europa.eu/articles/1-84;K. Miriam Elfström;Karolinska University Laboratory, Karolinska University Hospital, Anna Steckséns gata 49, SE-171 76 Stockholm;Sweden;Karolinska University Laboratory
A pilot study of risk-stratified cervical cancer screening;https://open-research-europe.ec.europa.eu/articles/1-84;Christer Borgfeldt;Department of Obstetrics & Gynecology, Skåne University Hospital, Department of Clinical Sciences, Lund University, Klinikgatan 12, SE-222 42 Lund;Sweden;Skåne University Hospital
A pilot study of risk-stratified cervical cancer screening;https://open-research-europe.ec.europa.eu/articles/1-84;Joakim Dillner;Karolinska University Laboratory, Karolinska University Hospital, Anna Steckséns gata 49, SE-171 76 Stockholm;Sweden;Karolinska University Laboratory
Making pre-screening for Alzheimer's disease (AD) and Postoperative delirium among post-acute COVID-19 syndrome - (PACS) a national priority: The Deep Neuro Study;https://open-research-europe.ec.europa.eu/articles/2-98;Ioannis Tarnanas;Global Brain Health Institute, Trinity College Dublin, Dublin;Ireland;
Making pre-screening for Alzheimer's disease (AD) and Postoperative delirium among post-acute COVID-19 syndrome - (PACS) a national priority: The Deep Neuro Study;https://open-research-europe.ec.europa.eu/articles/2-98;Magda Tsolaki;Laboratory of Neurodegenerative Diseases, Center for Interdisciplinary Research and Innovation (CIRI - AUTh) Balkan Center, Aristotle University of Thessaloniki, Buildings A & B, Thessaloniki;Greece;Aristotle University of Thessaloniki
Osmium and OsOx nanoparticles: an overview of syntheses and applications;https://open-research-europe.ec.europa.eu/articles/2-39;Jonathan Quinson;Chemistry, University of Copenhagen, Copenhagen;Denmark;University of Copenhagen
Recycling of platinum group metals from energy storage devices: a techno-economical business plan analysis;https://open-research-europe.ec.europa.eu/articles/2-92;Stylianos Spathariotis;MNLT Innovations PC, Kifisias Ave. 125-127, Athens, 11524;Greece;
Recycling of platinum group metals from energy storage devices: a techno-economical business plan analysis;https://open-research-europe.ec.europa.eu/articles/2-92;Konstantinos Miltiadis Sakkas;MNLT Innovations PC, Kifisias Ave. 125-127, Athens, 11524;Greece;
Recycling of platinum group metals from energy storage devices: a techno-economical business plan analysis;https://open-research-europe.ec.europa.eu/articles/2-92;Ekaterini Polyzou;MNLT Innovations PC, Kifisias Ave. 125-127, Athens, 11524;Greece;
Recycling of platinum group metals from energy storage devices: a techno-economical business plan analysis;https://open-research-europe.ec.europa.eu/articles/2-92;Iakovos Yakoumis;MONOLITHOS Catalysts & Recycling Ltd., Vrilissou Str. 83., Polygono-Athens, 11476;Greece;
Human papillomavirus (HPV) detection in vaginal self-samples: evaluation of eNat® as an alternative suspension medium to ThinPrep®PreservCyt® for vaginal swabs;https://open-research-europe.ec.europa.eu/articles/2-35;Chiara Giubbi;Department of Medicine and Surgery, University of Milano-Bicocca, Monza;Italy;University of Milano-Bicocca
Human papillomavirus (HPV) detection in vaginal self-samples: evaluation of eNat® as an alternative suspension medium to ThinPrep®PreservCyt® for vaginal swabs;https://open-research-europe.ec.europa.eu/articles/2-35;Marianna Martinelli;Department of Medicine and Surgery, University of Milano-Bicocca, Monza;Italy;University of Milano-Bicocca
Human papillomavirus (HPV) detection in vaginal self-samples: evaluation of eNat® as an alternative suspension medium to ThinPrep®PreservCyt® for vaginal swabs;https://open-research-europe.ec.europa.eu/articles/2-35;Ivan Vallini;Hiantis S.r.l., Milano;Italy;
Human papillomavirus (HPV) detection in vaginal self-samples: evaluation of eNat® as an alternative suspension medium to ThinPrep®PreservCyt® for vaginal swabs;https://open-research-europe.ec.europa.eu/articles/2-35;Silvia Paganoni;Hiantis S.r.l., Milano;Italy;
Human papillomavirus (HPV) detection in vaginal self-samples: evaluation of eNat® as an alternative suspension medium to ThinPrep®PreservCyt® for vaginal swabs;https://open-research-europe.ec.europa.eu/articles/2-35;Tarig Dafa'alla;GeneFirst Ltd., Abingdon, OX14 3DB;UK;
Human papillomavirus (HPV) detection in vaginal self-samples: evaluation of eNat® as an alternative suspension medium to ThinPrep®PreservCyt® for vaginal swabs;https://open-research-europe.ec.europa.eu/articles/2-35;Federica Perdoni;Department of Medicine and Surgery, University of Milano-Bicocca, Monza;Italy;University of Milano-Bicocca
Human papillomavirus (HPV) detection in vaginal self-samples: evaluation of eNat® as an alternative suspension medium to ThinPrep®PreservCyt® for vaginal swabs;https://open-research-europe.ec.europa.eu/articles/2-35;Rosario Musumeci;Department of Medicine and Surgery, University of Milano-Bicocca, Monza;Italy;University of Milano-Bicocca
Human papillomavirus (HPV) detection in vaginal self-samples: evaluation of eNat® as an alternative suspension medium to ThinPrep®PreservCyt® for vaginal swabs;https://open-research-europe.ec.europa.eu/articles/2-35;Winnie Wu;GeneFirst Ltd., Abingdon, OX14 3DB;UK;
Human papillomavirus (HPV) detection in vaginal self-samples: evaluation of eNat® as an alternative suspension medium to ThinPrep®PreservCyt® for vaginal swabs;https://open-research-europe.ec.europa.eu/articles/2-35;Santina Castriciano;Copan Italia SpA, Brescia;Italy;
Human papillomavirus (HPV) detection in vaginal self-samples: evaluation of eNat® as an alternative suspension medium to ThinPrep®PreservCyt® for vaginal swabs;https://open-research-europe.ec.europa.eu/articles/2-35;Paolo Romano;Hiantis S.r.l., Milano;Italy;
Human papillomavirus (HPV) detection in vaginal self-samples: evaluation of eNat® as an alternative suspension medium to ThinPrep®PreservCyt® for vaginal swabs;https://open-research-europe.ec.europa.eu/articles/2-35;Clementina E. Cocuzza;Department of Medicine and Surgery, University of Milano-Bicocca, Monza;Italy;University of Milano-Bicocca
Qudi-HiM: an open-source acquisition software package for highly multiplexed sequential and combinatorial optical imaging;https://open-research-europe.ec.europa.eu/articles/2-46;Franziska Barho;Centre de Biologie Structurale, Centre National de la Recherche Scientifique, UMR5048, Montpellier, 34090;France;
Qudi-HiM: an open-source acquisition software package for highly multiplexed sequential and combinatorial optical imaging;https://open-research-europe.ec.europa.eu/articles/2-46;Jean-Bernard Fiche;Centre de Biologie Structurale, Centre National de la Recherche Scientifique, UMR5048, Montpellier, 34090;France;
Qudi-HiM: an open-source acquisition software package for highly multiplexed sequential and combinatorial optical imaging;https://open-research-europe.ec.europa.eu/articles/2-46;Marion Bardou;Centre de Biologie Structurale, Centre National de la Recherche Scientifique, UMR5048, Montpellier, 34090;France;
Qudi-HiM: an open-source acquisition software package for highly multiplexed sequential and combinatorial optical imaging;https://open-research-europe.ec.europa.eu/articles/2-46;Olivier Messina;Centre de Biologie Structurale, Centre National de la Recherche Scientifique, UMR5048, Montpellier, 34090;France;
Qudi-HiM: an open-source acquisition software package for highly multiplexed sequential and combinatorial optical imaging;https://open-research-europe.ec.europa.eu/articles/2-46;Alexandre Martiniere;Institut Agro Montpellier, INRAE, Montpellier, 34000;France;
Qudi-HiM: an open-source acquisition software package for highly multiplexed sequential and combinatorial optical imaging;https://open-research-europe.ec.europa.eu/articles/2-46;Christophe Houbron;Centre de Biologie Structurale, Centre National de la Recherche Scientifique, UMR5048, Montpellier, 34090;France;
Qudi-HiM: an open-source acquisition software package for highly multiplexed sequential and combinatorial optical imaging;https://open-research-europe.ec.europa.eu/articles/2-46;Marcelo Nollmann;Centre de Biologie Structurale, Centre National de la Recherche Scientifique, UMR5048, Montpellier, 34090;France;
Local brain-state dependency of effective connectivity: a pilot TMS–EEG study;https://open-research-europe.ec.europa.eu/articles/2-45;Ida Granö;BioMag Laboratory, HUS Medical Imaging Center, University of Helsinki and Helsinki University Hospital, Helsinki;Finland;University of Helsinki and Helsinki University Hospital
Local brain-state dependency of effective connectivity: a pilot TMS–EEG study;https://open-research-europe.ec.europa.eu/articles/2-45;Tuomas P. Mutanen;BioMag Laboratory, HUS Medical Imaging Center, University of Helsinki and Helsinki University Hospital, Helsinki;Finland;University of Helsinki and Helsinki University Hospital
Local brain-state dependency of effective connectivity: a pilot TMS–EEG study;https://open-research-europe.ec.europa.eu/articles/2-45;Aino Tervo;BioMag Laboratory, HUS Medical Imaging Center, University of Helsinki and Helsinki University Hospital, Helsinki;Finland;University of Helsinki and Helsinki University Hospital
Local brain-state dependency of effective connectivity: a pilot TMS–EEG study;https://open-research-europe.ec.europa.eu/articles/2-45;Jaakko O. Nieminen;BioMag Laboratory, HUS Medical Imaging Center, University of Helsinki and Helsinki University Hospital, Helsinki;Finland;University of Helsinki and Helsinki University Hospital
Local brain-state dependency of effective connectivity: a pilot TMS–EEG study;https://open-research-europe.ec.europa.eu/articles/2-45;Victor H. Souza;BioMag Laboratory, HUS Medical Imaging Center, University of Helsinki and Helsinki University Hospital, Helsinki;Finland;University of Helsinki and Helsinki University Hospital
Local brain-state dependency of effective connectivity: a pilot TMS–EEG study;https://open-research-europe.ec.europa.eu/articles/2-45;Matteo Fecchio;Department of Biomedical and Clinical Sciences “L. Sacco”, University of Milan, Milan;Italy;University of Milan
Local brain-state dependency of effective connectivity: a pilot TMS–EEG study;https://open-research-europe.ec.europa.eu/articles/2-45;Mario Rosanova;Department of Biomedical and Clinical Sciences “L. Sacco”, University of Milan, Milan;Italy;University of Milan
Local brain-state dependency of effective connectivity: a pilot TMS–EEG study;https://open-research-europe.ec.europa.eu/articles/2-45;Pantelis Lioumis;BioMag Laboratory, HUS Medical Imaging Center, University of Helsinki and Helsinki University Hospital, Helsinki;Finland;University of Helsinki and Helsinki University Hospital
Local brain-state dependency of effective connectivity: a pilot TMS–EEG study;https://open-research-europe.ec.europa.eu/articles/2-45;Risto J. Ilmoniemi;BioMag Laboratory, HUS Medical Imaging Center, University of Helsinki and Helsinki University Hospital, Helsinki;Finland;University of Helsinki and Helsinki University Hospital
Hydrothermal carbonization as an alternative sanitation technology: process optimization and development of low-cost reactor;https://open-research-europe.ec.europa.eu/articles/1-139;Jae Wook Chung;Institute of Natural Resource Sciences, Zurich University of Applied Sciences, Wädenswil, 8820;Switzerland;Zurich University of Applied Sciences
Hydrothermal carbonization as an alternative sanitation technology: process optimization and development of low-cost reactor;https://open-research-europe.ec.europa.eu/articles/1-139;Gabriel Gerner;Institute of Natural Resource Sciences, Zurich University of Applied Sciences, Wädenswil, 8820;Switzerland;Zurich University of Applied Sciences
Hydrothermal carbonization as an alternative sanitation technology: process optimization and development of low-cost reactor;https://open-research-europe.ec.europa.eu/articles/1-139;Ekaterina Ovsyannikova;Institute of Agricultural Engineering, University of Hohenheim, Stuttgart, 70599;Germany;University of Hohenheim
Hydrothermal carbonization as an alternative sanitation technology: process optimization and development of low-cost reactor;https://open-research-europe.ec.europa.eu/articles/1-139;Alexander Treichler;Institute of Chemistry and Biotechnology, Zurich University of Applied Sciences, Wädenswil, 8820;Switzerland;Zurich University of Applied Sciences
Hydrothermal carbonization as an alternative sanitation technology: process optimization and development of low-cost reactor;https://open-research-europe.ec.europa.eu/articles/1-139;Urs Baier;Institute of Chemistry and Biotechnology, Zurich University of Applied Sciences, Wädenswil, 8820;Switzerland;Zurich University of Applied Sciences
Hydrothermal carbonization as an alternative sanitation technology: process optimization and development of low-cost reactor;https://open-research-europe.ec.europa.eu/articles/1-139;Judy Libra;Postharvest Technology, Leibniz Institute for Agricultural Engineering and Bioeconomy, Potsdam-Bornim, 14469;Germany;
Hydrothermal carbonization as an alternative sanitation technology: process optimization and development of low-cost reactor;https://open-research-europe.ec.europa.eu/articles/1-139;Rolf Krebs;Institute of Natural Resource Sciences, Zurich University of Applied Sciences, Wädenswil, 8820;Switzerland;Zurich University of Applied Sciences
Predicting farmed rainbow trout weight distribution to improve feeding practice: an individual-based model approach.;https://open-research-europe.ec.europa.eu/articles/2-63;Matteo Bolzonella;Department of Environmental Sciences, Informatics and Statistics (DAIS), Università Ca’ Foscari Venezia, Venice Mestre, Italy, 30172;Italy;Università Ca’ Foscari Venezia
Predicting farmed rainbow trout weight distribution to improve feeding practice: an individual-based model approach.;https://open-research-europe.ec.europa.eu/articles/2-63;Edouard Royer;Department of Environmental Sciences, Informatics and Statistics (DAIS), Università Ca’ Foscari Venezia, Venice Mestre, Italy, 30172;Italy;Università Ca’ Foscari Venezia
Predicting farmed rainbow trout weight distribution to improve feeding practice: an individual-based model approach.;https://open-research-europe.ec.europa.eu/articles/2-63;Adriano C. Lima;Department of Environmental Sciences, Informatics and Statistics (DAIS), Università Ca’ Foscari Venezia, Venice Mestre, Italy, 30172;Italy;Università Ca’ Foscari Venezia
Predicting farmed rainbow trout weight distribution to improve feeding practice: an individual-based model approach.;https://open-research-europe.ec.europa.eu/articles/2-63;Roberto Pastres;Department of Environmental Sciences, Informatics and Statistics (DAIS), Università Ca’ Foscari Venezia, Venice Mestre, Italy, 30172;Italy;Università Ca’ Foscari Venezia
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Samuel A. Welch;Norwegian Institute for Water Research, Oslo, 0579;Norway;
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Taylor Lane;Environment Department, University of York, Heslington, York;UK;University of York
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Alizée O.S Desrousseaux;Environment Department, University of York, Heslington, York;UK;University of York
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Joanke van Dijk;Copernicus Institute of Sustainable Development, Utrecht University, Utrecht;The Netherlands;Utrecht University
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Annika Mangold-Döring;Aquatic Ecology and Water Quality Management Group, Wageningen University, Wageningen, 6700 AA;The Netherlands;Wageningen University
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Rudrani Gajraj;Institute of Meteorology and Climatology, Department of Water, Atmosphere and Environment (WAU), University of Natural Resources and Life sciences (BOKU);Austria;University of Natural Resources and Life sciences (BOKU)
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;John D. Hader;Department of Environmental Science, Stockholm University, Stockholm, 106 91;Sweden;Stockholm University
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Markus Hermann;Aquatic Ecology and Water Quality Management Group, Wageningen University, Wageningen, 6700 AA;The Netherlands;Wageningen University
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Anju Parvathi Ayillyath Kutteyeri;Department of Soil and Water Sciences, The Hebrew University of Jerusalem, Rehovot, 7610001;Israel;The Hebrew University of Jerusalem
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Sophie Mentzel;Norwegian Institute for Water Research, Oslo, 0579;Norway;
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Poornima Nagesh;Copernicus Institute of Sustainable Development, Utrecht University, Utrecht;The Netherlands;Utrecht University
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Francesco Polazzo;IMDEA Water Institute, Science and Technology Campus of the University of Alcalá, Alcalá de Henares, Madrid, 28805;Spain;Science and Technology Campus of the University of Alcalá
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Sabrina K. Roth;Department of Environmental Science, Stockholm University, Stockholm, 106 91;Sweden;Stockholm University
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Alistair B.A. Boxall;Environment Department, University of York, Heslington, York;UK;University of York
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Benny Chefetz;Department of Soil and Water Sciences, The Hebrew University of Jerusalem, Rehovot, 7610001;Israel;The Hebrew University of Jerusalem
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Stefan C. Dekker;Copernicus Institute of Sustainable Development, Utrecht University, Utrecht;The Netherlands;Utrecht University
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Josef Eitzinger;Institute of Meteorology and Climatology, Department of Water, Atmosphere and Environment (WAU), University of Natural Resources and Life sciences (BOKU);Austria;University of Natural Resources and Life sciences (BOKU)
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Merete Grung;Norwegian Institute for Water Research, Oslo, 0579;Norway;
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Matthew MacLeod;Department of Environmental Science, Stockholm University, Stockholm, 106 91;Sweden;Stockholm University
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;S. Jannicke Moe;Norwegian Institute for Water Research, Oslo, 0579;Norway;
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Andreu Rico;IMDEA Water Institute, Science and Technology Campus of the University of Alcalá, Alcalá de Henares, Madrid, 28805;Spain;Science and Technology Campus of the University of Alcalá
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Anna Sobek;Department of Environmental Science, Stockholm University, Stockholm, 106 91;Sweden;Stockholm University
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Annemarie P. van Wezel;Copernicus Institute of Sustainable Development, Utrecht University, Utrecht;The Netherlands;Utrecht University
ECORISK2050: An Innovative Training Network for predicting the effects of global change on the emission, fate, effects, and risks of chemicals in aquatic ecosystems;https://open-research-europe.ec.europa.eu/articles/1-154;Paul van den Brink;Aquatic Ecology and Water Quality Management Group, Wageningen University, Wageningen, 6700 AA;The Netherlands;Wageningen University
Leveraging innovative technologies for designing a healthy and personalized breakfast: consumer perception of three smart cooking devices in the EU;https://open-research-europe.ec.europa.eu/articles/1-151;Clara Talens;New Foods, AZTI, Food Research, Basque Research and Technology Alliance (BRTA), Derio, Bizkaia, 48160;Spain;
Leveraging innovative technologies for designing a healthy and personalized breakfast: consumer perception of three smart cooking devices in the EU;https://open-research-europe.ec.europa.eu/articles/1-151;Yolanda Rios;New Foods, AZTI, Food Research, Basque Research and Technology Alliance (BRTA), Derio, Bizkaia, 48160;Spain;
Leveraging innovative technologies for designing a healthy and personalized breakfast: consumer perception of three smart cooking devices in the EU;https://open-research-europe.ec.europa.eu/articles/1-151;Elena Santa Cruz;New Foods, AZTI, Food Research, Basque Research and Technology Alliance (BRTA), Derio, Bizkaia, 48160;Spain;
Digital onboarding in finance: a novel model and related cybersecurity risks;https://open-research-europe.ec.europa.eu/articles/1-149;Miren Karmele García;NTT DATA, Madrid;Spain;
Digital onboarding in finance: a novel model and related cybersecurity risks;https://open-research-europe.ec.europa.eu/articles/1-149;Eliseo Venegas;NTT DATA, Madrid;Spain;
Digital onboarding in finance: a novel model and related cybersecurity risks;https://open-research-europe.ec.europa.eu/articles/1-149;SOTER;SOTER;SOTER;
Digital onboarding in finance: a novel model and related cybersecurity risks;https://open-research-europe.ec.europa.eu/articles/1-149;Esther Aguilera;NTT DATA, Madrid;Spain;
Digital onboarding in finance: a novel model and related cybersecurity risks;https://open-research-europe.ec.europa.eu/articles/1-149;José Manuel Panizo;Real Casa de la Moneda y Timbre, Madrid;Spain;
Digital onboarding in finance: a novel model and related cybersecurity risks;https://open-research-europe.ec.europa.eu/articles/1-149;Charlotte Kelly;Accertify, London;UK;
Digital onboarding in finance: a novel model and related cybersecurity risks;https://open-research-europe.ec.europa.eu/articles/1-149;Diego Serrano;Liberbank, Madrid;Spain;
Enacting semi-periphery: conditions of post-accession migration from Poland to the UK;https://open-research-europe.ec.europa.eu/articles/5-56;Viktoryia Vaitovich;University of Milan, Milan, Lombardy;Italy;University of Milan
From P4 medicine to P5 medicine: transitional times for a more human-centric approach to AI-based tools for hospitals of tomorrow;https://open-research-europe.ec.europa.eu/articles/2-33;Denise Amram;LIDER LAB - DIRPOLIS Institute EMbeDS Department of Excellence, Scuola Superiore Sant'Anna di Studi Universitari e di Perfezionamento, Pisa, Pisa, 56100;Italy;Scuola Superiore Sant'Anna di Studi Universitari e di Perfezionamento
From P4 medicine to P5 medicine: transitional times for a more human-centric approach to AI-based tools for hospitals of tomorrow;https://open-research-europe.ec.europa.eu/articles/2-33;Arianna Cignoni;The BioRobotics Institute Department of Excellence in Robotics & AI,, Scuola Superiore Sant'Anna di Studi Universitari e di Perfezionamento, Pisa, Pisa, 56100;Italy;Scuola Superiore Sant'Anna di Studi Universitari e di Perfezionamento
From P4 medicine to P5 medicine: transitional times for a more human-centric approach to AI-based tools for hospitals of tomorrow;https://open-research-europe.ec.europa.eu/articles/2-33;Tommaso Banfi;The BioRobotics Institute Department of Excellence in Robotics & AI,, Scuola Superiore Sant'Anna di Studi Universitari e di Perfezionamento, Pisa, Pisa, 56100;Italy;Scuola Superiore Sant'Anna di Studi Universitari e di Perfezionamento
From P4 medicine to P5 medicine: transitional times for a more human-centric approach to AI-based tools for hospitals of tomorrow;https://open-research-europe.ec.europa.eu/articles/2-33;Gastone Ciuti;The BioRobotics Institute Department of Excellence in Robotics & AI,, Scuola Superiore Sant'Anna di Studi Universitari e di Perfezionamento, Pisa, Pisa, 56100;Italy;Scuola Superiore Sant'Anna di Studi Universitari e di Perfezionamento
The parallels between particle induced lung overload and particle induced periprosthetic osteolysis (PPOL);https://open-research-europe.ec.europa.eu/articles/1-16;Paul J.A. Borm;Nanoconsult, Meerssen;The Netherlands;
Transition from monolithic to microservice-based applications. Challenges from the developer perspective;https://open-research-europe.ec.europa.eu/articles/2-24;Antonios Makris;Department of Informatics and Telematics, Harokopio University, Athens;Greece;Harokopio University
Transition from monolithic to microservice-based applications. Challenges from the developer perspective;https://open-research-europe.ec.europa.eu/articles/2-24;Konstantinos Tserpes;Electrical and Computer Engineering, National Technical University of Athens, Athens;Greece;National Technical University of Athens
Transition from monolithic to microservice-based applications. Challenges from the developer perspective;https://open-research-europe.ec.europa.eu/articles/2-24;Theodora Varvarigou;Electrical and Computer Engineering, National Technical University of Athens, Athens;Greece;National Technical University of Athens
SESAME – a synchrotron light source in the Middle East: an international research infrastructure in the making;https://open-research-europe.ec.europa.eu/articles/1-51;Charlotte Rungius;DZHW, Berlin;Germany;
SESAME – a synchrotron light source in the Middle East: an international research infrastructure in the making;https://open-research-europe.ec.europa.eu/articles/1-51;Tim Flink;DZHW, Berlin;Germany;
SESAME – a synchrotron light source in the Middle East: an international research infrastructure in the making;https://open-research-europe.ec.europa.eu/articles/1-51;Sebastian Riedel;Humboldt University of Berlin, Berlin;Germany;Humboldt University of Berlin
Life cycle analysis of the solar thermochemical energy storage scheme SOCRATCES;https://open-research-europe.ec.europa.eu/articles/2-14;Sara Hritz;TTZ Bremerhaven, Bremerhaven, Bremen, 27572;Germany;
Life cycle analysis of the solar thermochemical energy storage scheme SOCRATCES;https://open-research-europe.ec.europa.eu/articles/2-14;Muhammad Eusha;TTZ Bremerhaven, Bremerhaven, Bremen, 27572;Germany;
Life cycle analysis of the solar thermochemical energy storage scheme SOCRATCES;https://open-research-europe.ec.europa.eu/articles/2-14;Faraz Rasheed Mir;TTZ Bremerhaven, Bremerhaven, Bremen, 27572;Germany;
