题目;链接;姓名;机构;国家;状态
Evolution of informed consent in research: From the Hippocratic Oath to the tailored consent;https://open-research-europe.ec.europa.eu/articles/4-72;Dirk Lanzerath;University of Bonn;Germany;Normal
Evolution of informed consent in research: From the Hippocratic Oath to the tailored consent;https://open-research-europe.ec.europa.eu/articles/4-72;Julia Wade;University of Bristol;UK;Normal
Evolution of informed consent in research: From the Hippocratic Oath to the tailored consent;https://open-research-europe.ec.europa.eu/articles/4-72;Vicente Bellver Capella;Universidad de Valencia;Spain;Normal
Spectra without stories: reporting 94% dark and unidentified ancient proteomes;https://open-research-europe.ec.europa.eu/articles/4-71;Timothy Cleland;Smithsonian Museum Conservation Institute;USA;Normal
Spectra without stories: reporting 94% dark and unidentified ancient proteomes;https://open-research-europe.ec.europa.eu/articles/4-71;Glendon Parker;University of California;USA;Normal
Spectra without stories: reporting 94% dark and unidentified ancient proteomes;https://open-research-europe.ec.europa.eu/articles/4-71;Virginia Harvey;University of Chester;UK;Normal
Incidental findings in development and use of digital health ecosystems for older people;https://open-research-europe.ec.europa.eu/articles/4-70;Ralph Moehler;Heinrich Heine University Düsseldorf;Germany;Normal
Incidental findings in development and use of digital health ecosystems for older people;https://open-research-europe.ec.europa.eu/articles/4-70;Eija Metsälä;Helsinki Metropolia University of Applied Sciences;Finland;Normal
CO2 emissions: A challenge but also a big opportunity for Spain;https://open-research-europe.ec.europa.eu/articles/4-65/v1;Pedro Linares;Comillas Pontifical University;Spain;Normal
CO2 emissions: A challenge but also a big opportunity for Spain;https://open-research-europe.ec.europa.eu/articles/4-65/v1;Paniz Izadi;Helmholtz Centre for Environmental Research;Germany;Normal
Social Embeddings: Concept and Initial Investigation;https://open-research-europe.ec.europa.eu/articles/4-63;Bing Li;CNRS University of Lille;France;Normal
Social Embeddings: Concept and Initial Investigation;https://open-research-europe.ec.europa.eu/articles/4-63;Carlo Mazzola;Istituto Italiano di Tecnologia;Italy;Normal
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61/v1;Zoltán Péterfi;University of Pecs;Hungary;Normal
Lyophilized fecal microbiome transfer for primary Clostridioides difficile infection: a multicenter randomized controlled trial (DONATE Study);https://open-research-europe.ec.europa.eu/articles/4-61/v1;Shaohui Wang;University of South Florida;USA;Normal
Hard Candy Production and Quality Parameters: A review;https://open-research-europe.ec.europa.eu/articles/4-60;Diana Lo;Bina Nusantara University;Indonesia;Normal
Hard Candy Production and Quality Parameters: A review;https://open-research-europe.ec.europa.eu/articles/4-60;Indri Juliyarsi;Universitas Andalas:;Indonesia;Normal
PROCare4Life lessons learned;https://open-research-europe.ec.europa.eu/articles/3-147;Cristina Nombela Otero;Autonomous University of Madrid;Spain;Normal
PROCare4Life lessons learned;https://open-research-europe.ec.europa.eu/articles/3-147;Alvaro Sanchez Ferro;Hospital Universitario 12 de Octubre;Spain;Normal
PROCare4Life lessons learned;https://open-research-europe.ec.europa.eu/articles/3-147;Raphael Wittenberg;London School of Economics and Political Science;UK;Normal
Rapid diagnostic testing for onchocerciasis in Maridi (South Sudan) before and after improving elimination strategies: a repeated cross-sectional survey;https://open-research-europe.ec.europa.eu/articles/3-206;Norbert W Brattig;Bernhard Nocht Institute for Tropical Medicine;Germany;Normal
Rapid diagnostic testing for onchocerciasis in Maridi (South Sudan) before and after improving elimination strategies: a repeated cross-sectional survey;https://open-research-europe.ec.europa.eu/articles/3-206;Kiswendsida Thierry Guiguemde;Joseph Ki-Zerbo University;Burkina Faso;Normal
Rapid diagnostic testing for onchocerciasis in Maridi (South Sudan) before and after improving elimination strategies: a repeated cross-sectional survey;https://open-research-europe.ec.europa.eu/articles/3-206;Yankum Dadzie;Emory University;USA;Normal
Comparing energy system optimization models and integrated assessment models: Relevance for energy policy advice;https://open-research-europe.ec.europa.eu/articles/3-69;Paul Deane;University College Cork;Ireland;Normal
Comparing energy system optimization models and integrated assessment models: Relevance for energy policy advice;https://open-research-europe.ec.europa.eu/articles/3-69;David McCollum;Oak Ridge National Laboratory;USA;Normal
Comparing energy system optimization models and integrated assessment models: Relevance for energy policy advice;https://open-research-europe.ec.europa.eu/articles/3-69;Jesse Jenkins;Princeton University;USA;Normal
Twinning for the Armenian research infrastructure on cancer research;https://open-research-europe.ec.europa.eu/articles/4-58;Emad Shash;Cairo University;Egypt;Normal
Twinning for the Armenian research infrastructure on cancer research;https://open-research-europe.ec.europa.eu/articles/4-58;Neela Guha;University of California Berkeley;USA;Normal
Better treatment response in people with obsessive-compulsive disorder is associated with more use of a planning-focused coping style;https://open-research-europe.ec.europa.eu/articles/4-57;;;;Awaiting Review
Digital twin modeling: A comparison of current approaches;https://open-research-europe.ec.europa.eu/articles/4-56;Daniella Tola;Aalborg University;Denmark;Normal
Digital twin modeling: A comparison of current approaches;https://open-research-europe.ec.europa.eu/articles/4-56;Marco Picone;Universita degli Studi di Modena e Reggio Emilia;Italy;Normal
Digital twin modeling: A comparison of current approaches;https://open-research-europe.ec.europa.eu/articles/4-56;Yu Zheng;Shanghai Jiao Tong University;China;Normal
Digital twin modeling: A comparison of current approaches;https://open-research-europe.ec.europa.eu/articles/4-56;Muhammad Usman Shoukat;Wuhan University of Technology;China;Normal
Diriliş: Resurrection theme in the populist regime of ‘New Turkey’;https://open-research-europe.ec.europa.eu/articles/4-55;Rüstem Ertuğ Altınay;University of Milan;Italy;Normal
Diriliş: Resurrection theme in the populist regime of ‘New Turkey’;https://open-research-europe.ec.europa.eu/articles/4-55;Nazli Özkan;Koç University;Turkey;Normal
Towards a computational history of modernism in European literary history: Mapping the Inner Lives of Characters in the European Novel (1840–1920);https://open-research-europe.ec.europa.eu/articles/3-128;Mark Algee Hewitt;Stanford University;USA;Normal
Towards a computational history of modernism in European literary history: Mapping the Inner Lives of Characters in the European Novel (1840–1920);https://open-research-europe.ec.europa.eu/articles/3-128;Noa Visser Solissa;University of Groningen;The Netherlands;Normal
Towards a computational history of modernism in European literary history: Mapping the Inner Lives of Characters in the European Novel (1840–1920);https://open-research-europe.ec.europa.eu/articles/3-128;David Mimno;Cornell University;USA;Normal
Machine vision situations: Tracing distributed agency;https://open-research-europe.ec.europa.eu/articles/3-132;Susana Tosca;University of Southern Denmark;Denmark;Normal
Machine vision situations: Tracing distributed agency;https://open-research-europe.ec.europa.eu/articles/3-132;Anastasia Salter;University of Central Florida;USA;Normal
Machine vision situations: Tracing distributed agency;https://open-research-europe.ec.europa.eu/articles/3-132;Kristin Veel;University of Copenhagen;Denmark;Normal
Food shaped photosynthesis: Photophysiology of the sea slug Elysia viridis fed with two alternative chloroplast donors;https://open-research-europe.ec.europa.eu/articles/3-107;Yoichi Yusa;Nara Women's University;Japan;Normal
Food shaped photosynthesis: Photophysiology of the sea slug Elysia viridis fed with two alternative chloroplast donors;https://open-research-europe.ec.europa.eu/articles/3-107;Rachael M Wade;The University of British Columbia;Canada;Normal
Inadequate Social Housing and Health: The Case of Oliver Bond House, The Liberties, Dublin;https://open-research-europe.ec.europa.eu/articles/3-211;Nicholas Pleace;University of York;UK;Normal
Inadequate Social Housing and Health: The Case of Oliver Bond House, The Liberties, Dublin;https://open-research-europe.ec.europa.eu/articles/3-211;Declan Redmond;University College Dublin;Ireland;Normal
Inadequate Social Housing and Health: The Case of Oliver Bond House, The Liberties, Dublin;https://open-research-europe.ec.europa.eu/articles/3-211;Erin Ruel;Georgia State University;USA;Normal
Inadequate Social Housing and Health: The Case of Oliver Bond House, The Liberties, Dublin;https://open-research-europe.ec.europa.eu/articles/3-211;Roberta Cucca;Norwegian University of Life Sciences;Norway;Normal
Communicating climate change induced migration: the role of NGOs;https://open-research-europe.ec.europa.eu/articles/3-163;David Durand-Delacre;United Nations University Institute for Environment and Human Security (UNU-EHS);Germany;Normal
Communicating climate change induced migration: the role of NGOs;https://open-research-europe.ec.europa.eu/articles/3-163;Mark C. J. Stoddart;Memorial University Newfoundland;Canada;Normal
Communicating climate change induced migration: the role of NGOs;https://open-research-europe.ec.europa.eu/articles/3-163;Jouni Paavola;University of Leeds;UK;Normal
OLEAtool: An open-source software for morphopalynological research in Olea europaea L. pollen;https://open-research-europe.ec.europa.eu/articles/3-29;Sebastian Pérez-Díaz;Universidad de Cantabria;Spain;Normal
OLEAtool: An open-source software for morphopalynological research in Olea europaea L. pollen;https://open-research-europe.ec.europa.eu/articles/3-29;Sandra Garcés Pastor;University of Barcelona;Spain;Normal
A search tool based on language modelling developed for The Index of Middle English Prose;https://open-research-europe.ec.europa.eu/articles/3-197;Ondrej Tichy;Charles University;Czech Republic;Normal
A search tool based on language modelling developed for The Index of Middle English Prose;https://open-research-europe.ec.europa.eu/articles/3-197;Cristina Marras;Italian National Research Council;Italy;Normal
Artificial Intelligence Technologies and Practical Normativity/Normality: Investigating Practices beyond the Public Space;https://open-research-europe.ec.europa.eu/articles/3-160;Marijn Hoijtink;University of Antwerp;Belgium;Normal
Artificial Intelligence Technologies and Practical Normativity/Normality: Investigating Practices beyond the Public Space;https://open-research-europe.ec.europa.eu/articles/3-160;Marion Laurence;Royal Military College of Canada;Canada;Normal
Artificial Intelligence Technologies and Practical Normativity/Normality: Investigating Practices beyond the Public Space;https://open-research-europe.ec.europa.eu/articles/3-160;Damián Tuset Varela;University of Jaén;Spain;Normal
Artificial Intelligence Technologies and Practical Normativity/Normality: Investigating Practices beyond the Public Space;https://open-research-europe.ec.europa.eu/articles/3-160;Haekal Al Asyari;Universitas Gadjah Mada;Indonesia;Normal
Artificial Intelligence Technologies and Practical Normativity/Normality: Investigating Practices beyond the Public Space;https://open-research-europe.ec.europa.eu/articles/3-160;Max Lesch;Peace Research Institute Frankfurt;Germany;Normal
Conspiracy beliefs and social media: Addressing a systemic risk;https://open-research-europe.ec.europa.eu/articles/4-53;Valentina Pitardi;University of Surrey;UK;Normal
Conspiracy beliefs and social media: Addressing a systemic risk;https://open-research-europe.ec.europa.eu/articles/4-53;Niko Pyrhönen;University of Helsinki;Finland;Normal
Conspiracy beliefs and social media: Addressing a systemic risk;https://open-research-europe.ec.europa.eu/articles/4-53;Thomas Wold;North University Stjordal Campus;Norway;Normal
A feasibility study for a unified, multimodal analysis of online information foraging in health-related topics;https://open-research-europe.ec.europa.eu/articles/3-98;Seung B. Lee;Pepperdine University;USA;Normal
A feasibility study for a unified, multimodal analysis of online information foraging in health-related topics;https://open-research-europe.ec.europa.eu/articles/3-98;Ljerka Luić;University North;Croatia;Normal
Differential expression analysis of binary appearance patterns;https://open-research-europe.ec.europa.eu/articles/4-52;;;;Awaiting Review
The Value of Interdisciplinary Collaboration in Human Geography and Bioethics;https://open-research-europe.ec.europa.eu/articles/4-49;Tomasz Zuradzki;Jagiellonian University;Poland;Normal
The Value of Interdisciplinary Collaboration in Human Geography and Bioethics;https://open-research-europe.ec.europa.eu/articles/4-49;Soren Holm;University of Manchester;UK;Normal
The Value of Interdisciplinary Collaboration in Human Geography and Bioethics;https://open-research-europe.ec.europa.eu/articles/4-49;Michiel De Proost;Ghent University;Belgium;Normal
Plasma electrolytic polishing of additively manufactured metal parts: Optimizing the post processing workflow;https://open-research-europe.ec.europa.eu/articles/4-48/v1;Muhammad Arif Mahmood;Missouri University of Science and Technology;USA;Normal
Plasma electrolytic polishing of additively manufactured metal parts: Optimizing the post processing workflow;https://open-research-europe.ec.europa.eu/articles/4-48/v1;Eduard Chyhyrynets;Laboratori Nazionali di Legnaro;Italy;Normal
Addressing ocean planning challenges in a highly crowded sea space: a case study for the regional sea of Catalonia (Western Mediterranean);https://open-research-europe.ec.europa.eu/articles/4-46;Humood Naser;University of Bahrain;Bahrain;Normal
Addressing ocean planning challenges in a highly crowded sea space: a case study for the regional sea of Catalonia (Western Mediterranean);https://open-research-europe.ec.europa.eu/articles/4-46;Aurelija Armoskaite;Latvian institute of Aquatic Ecology;Latvia;Normal
Integrated coplanar waveguide coil on diamond for enhanced homogeneous broadband NV magnetometry;https://open-research-europe.ec.europa.eu/articles/4-44;Wojciech Gawlik;Jagiellonian University;Poland;Normal
Integrated coplanar waveguide coil on diamond for enhanced homogeneous broadband NV magnetometry;https://open-research-europe.ec.europa.eu/articles/4-44;Jixing Zhang;University of Stuttgart;Germany;Normal
Integrated coplanar waveguide coil on diamond for enhanced homogeneous broadband NV magnetometry;https://open-research-europe.ec.europa.eu/articles/4-44;Suvechhya Lamichhane;University of Nebraska Lincoln;USA;Normal
Integrated coplanar waveguide coil on diamond for enhanced homogeneous broadband NV magnetometry;https://open-research-europe.ec.europa.eu/articles/4-44;Bing Chen;Hefei University of Technology;China;Normal
WALIS dashboard: An online tool to explore a global paleo sea-level database;https://open-research-europe.ec.europa.eu/articles/3-114;Schmitty B. Thompson;Oregon State University;USA;Normal
WALIS dashboard: An online tool to explore a global paleo sea-level database;https://open-research-europe.ec.europa.eu/articles/3-114;Jennifer S. Walker;Rowan University;USA;Normal
WALIS dashboard: An online tool to explore a global paleo sea-level database;https://open-research-europe.ec.europa.eu/articles/3-114;Stephen Chua;Nanyang Technological University;Singapore;Normal
WALIS dashboard: An online tool to explore a global paleo sea-level database;https://open-research-europe.ec.europa.eu/articles/3-114;Selasi Yao Avornyo;University of Ghana;Ghana;Normal
Navigating in the multiverse: Possibilities and limitations of creative practices in online environments;https://open-research-europe.ec.europa.eu/articles/4-42;Eirini Sifaki;University of Thessaly;Greece;Normal
Navigating in the multiverse: Possibilities and limitations of creative practices in online environments;https://open-research-europe.ec.europa.eu/articles/4-42;João Pedro Amorim;Universidade Catolica Portuguesa;Portugal;Normal
The lure of the foreign stage: Chronicles of Italian mobility to France in the long eighteenth century;https://open-research-europe.ec.europa.eu/articles/4-38;Tatiana Korneeva;Norwegian University of Science and Technology (NTNU);Norway;Normal
The lure of the foreign stage: Chronicles of Italian mobility to France in the long eighteenth century;https://open-research-europe.ec.europa.eu/articles/4-38;Elena Mazzoleni;Universita degli Studi di Bergamo;Italy;Normal
The lure of the foreign stage: Chronicles of Italian mobility to France in the long eighteenth century;https://open-research-europe.ec.europa.eu/articles/4-38;Bruno Forment;Orpheus Institut;Belgium;Normal
Guidelines for Translating Frameworks, Methods, Tools and Principles of Local Innovations for Marginalised and Vulnerable Communities – 2023;https://open-research-europe.ec.europa.eu/articles/4-36;Bart Wernaart;Fontys University of Applied Sciences;Netherlands Antilles;Normal
Guidelines for Translating Frameworks, Methods, Tools and Principles of Local Innovations for Marginalised and Vulnerable Communities – 2023;https://open-research-europe.ec.europa.eu/articles/4-36;Saradindu Bhaduri;Jawaharlal Nehru University;India;Normal
Guidelines for Translating Frameworks, Methods, Tools and Principles of Local Innovations for Marginalised and Vulnerable Communities – 2023;https://open-research-europe.ec.europa.eu/articles/4-36;Émilie Dionne;Universite Laval;Canada;Normal
First economically and environmentally viable mobile commercial metallurgical plant based on advanced hydrometallurgical and electrochemical technologies able to produce cobalt metal from spent lithium-ion batteries;https://open-research-europe.ec.europa.eu/articles/4-32;Amilton Barbosa Botelho Junior;University of Sao Paulo;Brazil;Normal
First economically and environmentally viable mobile commercial metallurgical plant based on advanced hydrometallurgical and electrochemical technologies able to produce cobalt metal from spent lithium-ion batteries;https://open-research-europe.ec.europa.eu/articles/4-32;Tran Thanh Tuan;Can Tho University of Technology;Vietnam;Normal
First economically and environmentally viable mobile commercial metallurgical plant based on advanced hydrometallurgical and electrochemical technologies able to produce cobalt metal from spent lithium-ion batteries;https://open-research-europe.ec.europa.eu/articles/4-32;Yuanpeng Fu;Taiyuan University of Technology;China;Normal
Lessons learnt during the workshop “Empowerment of citizens: fostering user engagement for innovative demand response for effective flexibility”;https://open-research-europe.ec.europa.eu/articles/3-1/v1;Jose Villar;INESC TEC;Portugal;Normal
Lessons learnt during the workshop “Empowerment of citizens: fostering user engagement for innovative demand response for effective flexibility”;https://open-research-europe.ec.europa.eu/articles/3-1/v1;Gianluca Carraro;Universita degli Studi di Padova;Italy;Normal
Lessons learnt during the workshop “Empowerment of citizens: fostering user engagement for innovative demand response for effective flexibility”;https://open-research-europe.ec.europa.eu/articles/3-1/v1;Jens Lowitzsch;European University Viadrina;Germany;Normal
Lessons learnt during the workshop “Empowerment of citizens: fostering user engagement for innovative demand response for effective flexibility”;https://open-research-europe.ec.europa.eu/articles/3-1/v1;Benoit Couraud;University of Glasgow;UK;Normal
Lessons learnt during the workshop “Empowerment of citizens: fostering user engagement for innovative demand response for effective flexibility”;https://open-research-europe.ec.europa.eu/articles/3-1/v1;Yang Li;Northeast Electric Power University;China;Normal
Lessons learnt during the workshop “Empowerment of citizens: fostering user engagement for innovative demand response for effective flexibility”;https://open-research-europe.ec.europa.eu/articles/3-1/v1;Mohammad Fazle Rabbi;University of Debrecen;Hungary;Normal
Ecocriminological analysis of brine in aquatic ecosystems: impacts on Posidonia oceanica and the search for restorative justice solutions;https://open-research-europe.ec.europa.eu/articles/3-130;Jordi Pagès;Centre d'Estudis Avançats de Blanes;Spain;Normal
Ecocriminological analysis of brine in aquatic ecosystems: impacts on Posidonia oceanica and the search for restorative justice solutions;https://open-research-europe.ec.europa.eu/articles/3-130;Gema Varona;University of Basque Country;Spain;Normal
Ecocriminological analysis of brine in aquatic ecosystems: impacts on Posidonia oceanica and the search for restorative justice solutions;https://open-research-europe.ec.europa.eu/articles/3-130;Fabio Blanco-Murillo;University of Alicante;Spain;Normal
Ecocriminological analysis of brine in aquatic ecosystems: impacts on Posidonia oceanica and the search for restorative justice solutions;https://open-research-europe.ec.europa.eu/articles/3-130;Teresa Fajardo del Castillo;University of Granada;Spain;Normal
Ongoing tracking of engagement in motor learning;https://open-research-europe.ec.europa.eu/articles/4-28;Zihan Wang;Tsinghua University (Ringgold ID: 12442);China;Normal
Ongoing tracking of engagement in motor learning;https://open-research-europe.ec.europa.eu/articles/4-28;Catherine Tong;University of Oxford;UK;Normal
Foreign language acquisition of perceptually similar segments: evidence from Lower Sorbian;https://open-research-europe.ec.europa.eu/articles/3-56;Claire Nance;Lancaster University;UK;Normal
Foreign language acquisition of perceptually similar segments: evidence from Lower Sorbian;https://open-research-europe.ec.europa.eu/articles/3-56;David Bolter;Denison University;USA;Normal
All for One and One for All: Dissecting PREMIERE’s Inclusive AKIS Stakeholder Engagement Strategy;https://open-research-europe.ec.europa.eu/articles/4-27;Andrea Knierim;University of Hohenheim (UHOH);Germany;Normal
All for One and One for All: Dissecting PREMIERE’s Inclusive AKIS Stakeholder Engagement Strategy;https://open-research-europe.ec.europa.eu/articles/4-27;David Christian Rose;Harper Adams University;UK;Normal
Humanising research on migration decision-making: a situated framework;https://open-research-europe.ec.europa.eu/articles/3-142;Jørgen Carling;Peace Research Institute Oslo;Norway;Normal
Humanising research on migration decision-making: a situated framework;https://open-research-europe.ec.europa.eu/articles/3-142;Saara Koikkalainen;University of Eastern Finland;Finland;Normal
Humanising research on migration decision-making: a situated framework;https://open-research-europe.ec.europa.eu/articles/3-142;Ulrike Schuerkens;University Rennes 2;France;Normal
Humanising research on migration decision-making: a situated framework;https://open-research-europe.ec.europa.eu/articles/3-142;Andrew Geddes;European University Institute;Italy;Normal
Humanising research on migration decision-making: a situated framework;https://open-research-europe.ec.europa.eu/articles/3-142;Nils Witte;Federal Institute for Population Research;Germany;Normal
Data formats and standards for opportunistic rainfall sensors;https://open-research-europe.ec.europa.eu/articles/3-169;Cristian Lussana;The Norwegian Meteorological Institute;Norway;Normal
Data formats and standards for opportunistic rainfall sensors;https://open-research-europe.ec.europa.eu/articles/3-169;Swastika Chakraborty;Narula Institute of Technology;India;Normal
"Development of the lexicon, trained panel validation and sensory profiling of new ready-to-eat plant-based ""meatballs"" in tomato sauce";https://open-research-europe.ec.europa.eu/articles/2-145;Kaiser Younis;Islamic University of Science and Technology;India;Normal
"Development of the lexicon, trained panel validation and sensory profiling of new ready-to-eat plant-based ""meatballs"" in tomato sauce";https://open-research-europe.ec.europa.eu/articles/2-145;Juan B. Calanche M;Universidad de Zaragoza-CITA;Spain;Normal
Assessing alkali activation of waste stone wool from greenhouses combined with direct foaming or granulation to obtain recycled plant substrate;https://open-research-europe.ec.europa.eu/articles/4-26;Tao Yang;Yancheng Institute of Technology;China;Normal
Assessing alkali activation of waste stone wool from greenhouses combined with direct foaming or granulation to obtain recycled plant substrate;https://open-research-europe.ec.europa.eu/articles/4-26;Beibei Sun;Ghent University;Belgium;Normal
Assessing alkali activation of waste stone wool from greenhouses combined with direct foaming or granulation to obtain recycled plant substrate;https://open-research-europe.ec.europa.eu/articles/4-26;Muhammad Riaz Ahmad;The Hong Kong Polytechnic University;Hong Kong;Normal
The rise of gemination in Celtic;https://open-research-europe.ec.europa.eu/articles/3-24;Martin Joachim Kümmel;Friedrich-Schiller-Universität Jena;Germany;Normal
The rise of gemination in Celtic;https://open-research-europe.ec.europa.eu/articles/3-24;Karin Stüber;University of Zurich;Switzerland;Normal
The rise of gemination in Celtic;https://open-research-europe.ec.europa.eu/articles/3-24;Anders Jørgensen;Uppsala University;Sweden;Normal
The rise of gemination in Celtic;https://open-research-europe.ec.europa.eu/articles/3-24;Elisa Roma;Università degli Studi di Pavia;Italy;Normal
Basic taste sensitivity, eating behaviour, food propensity and BMI of preadolescent children: How are they related?;https://open-research-europe.ec.europa.eu/articles/1-127;Sylvie Issanchou;Centre des Sciences du Goût et de l'Alimentation;France;Normal
Basic taste sensitivity, eating behaviour, food propensity and BMI of preadolescent children: How are they related?;https://open-research-europe.ec.europa.eu/articles/1-127;Melania Melis;University of Gastronomic Sciences;Italy;Normal
Precise realtime current consumption measurement in IoT TestBed;https://open-research-europe.ec.europa.eu/articles/3-27;Carmen Delgado Pinillos;i2cat Foundation;Spain;Normal
Precise realtime current consumption measurement in IoT TestBed;https://open-research-europe.ec.europa.eu/articles/3-27;Marco Eugeni;Universita degli Studi di Roma La Sapienza;Italy;Normal
Precise realtime current consumption measurement in IoT TestBed;https://open-research-europe.ec.europa.eu/articles/3-27;Mun Hou Kit;Universiti Tunku Abdul Rahman;Malaysia;Normal
Gaussian process models for geographic controls in phylogenetic trees;https://open-research-europe.ec.europa.eu/articles/3-57;Tiago Tresoldi;Uppsala University;Sweden;Normal
Gaussian process models for geographic controls in phylogenetic trees;https://open-research-europe.ec.europa.eu/articles/3-57;Thomas Brochhagen;Universitat Pompeu Fabra;Spain;Normal
Gaussian process models for geographic controls in phylogenetic trees;https://open-research-europe.ec.europa.eu/articles/3-57;Frederic Blum;University of Passau;Germany;Normal
Gaussian process models for geographic controls in phylogenetic trees;https://open-research-europe.ec.europa.eu/articles/3-57;Grégoire Clarté;The University of Edinburgh;UK;Normal
Gaussian process models for geographic controls in phylogenetic trees;https://open-research-europe.ec.europa.eu/articles/3-57;Natalia Chousou-Polydouri;University of Zurich;Switzerland;Normal
Lab-scale and full-scale industrial composting of biodegradable plastic blends for packaging;https://open-research-europe.ec.europa.eu/articles/2-101;Mehlika Karamanlioglu;Istanbul Gelisim University;Turkey;Normal
Lab-scale and full-scale industrial composting of biodegradable plastic blends for packaging;https://open-research-europe.ec.europa.eu/articles/2-101;Douglas G. Hayes;University of Tennessee;USA;Normal
Interspecific competition affects spore germination and gametophore development of mosses;https://open-research-europe.ec.europa.eu/articles/3-91;Marko S. Sabovljevic;University of Belgrade;Serbia;Normal
Interspecific competition affects spore germination and gametophore development of mosses;https://open-research-europe.ec.europa.eu/articles/3-91;Linda Fuselier;University of Louisville;USA;Normal
Interspecific competition affects spore germination and gametophore development of mosses;https://open-research-europe.ec.europa.eu/articles/3-91;Maxine Watson;Indiana University Bloomington;USA;Normal
Interspecific competition affects spore germination and gametophore development of mosses;https://open-research-europe.ec.europa.eu/articles/3-91;Jennifer K. Rowntree;University of Plymouth;UK;Normal
The possibility of spatial mapping of SOC content in olive groves under integrated production using easy-to-obtain ancillary data in a Mediterranean area;https://open-research-europe.ec.europa.eu/articles/2-110;Sameh Kotb Abd-Elmabod;National Research Centre;Egypt;Normal
The possibility of spatial mapping of SOC content in olive groves under integrated production using easy-to-obtain ancillary data in a Mediterranean area;https://open-research-europe.ec.europa.eu/articles/2-110;Fuat Kaya;Isparta University of Applied Sciences;Turkey;Normal
The possibility of spatial mapping of SOC content in olive groves under integrated production using easy-to-obtain ancillary data in a Mediterranean area;https://open-research-europe.ec.europa.eu/articles/2-110;Prava Kiran Dash;Odisha University of Agriculture and Technology;India;Normal
The possibility of spatial mapping of SOC content in olive groves under integrated production using easy-to-obtain ancillary data in a Mediterranean area;https://open-research-europe.ec.europa.eu/articles/2-110;Calogero Schillaci;JRC European Commission;Italy;Normal
The possibility of spatial mapping of SOC content in olive groves under integrated production using easy-to-obtain ancillary data in a Mediterranean area;https://open-research-europe.ec.europa.eu/articles/2-110;Odunayo David Adeniyi;University of Pavia;Italy;Normal
Women and Power in Zimbabwe: The Need for Feminist Approaches in Considerations of Political Elites;https://open-research-europe.ec.europa.eu/articles/4-22;Tendai Mangena;University of Leeds;UK;Normal
Women and Power in Zimbabwe: The Need for Feminist Approaches in Considerations of Political Elites;https://open-research-europe.ec.europa.eu/articles/4-22;Kim Barker;University of Lincoln;UK;Normal
Women and Power in Zimbabwe: The Need for Feminist Approaches in Considerations of Political Elites;https://open-research-europe.ec.europa.eu/articles/4-22;Mandiedza Parichi;Midlands State University;Zimbabwe;Normal
The Fall of Acre and the Salvation of Sodom. The use of peccatis exigentibus in response to the loss of Acre in 1291.;https://open-research-europe.ec.europa.eu/articles/4-21;Jessalynn Bird;Saint Mary's College;USA;Normal
The Fall of Acre and the Salvation of Sodom. The use of peccatis exigentibus in response to the loss of Acre in 1291.;https://open-research-europe.ec.europa.eu/articles/4-21;Philippa Byrne;The University of Dublin Trinity College;Ireland;Normal
Analysis of business models for delivering energy efficiency through smart energy services to the European commercial rented sector;https://open-research-europe.ec.europa.eu/articles/2-131;Nichole Hanus;Lawrence Berkeley National Laboratory;USA;Normal
Analysis of business models for delivering energy efficiency through smart energy services to the European commercial rented sector;https://open-research-europe.ec.europa.eu/articles/2-131;Mahyar Kamali Saraji;Vilnius University;Lithuania;Normal
Investigation of the effects surface alteration via coatings on the condensation heat transfer and wettability;https://open-research-europe.ec.europa.eu/articles/4-20;Mete Budakli;Ozyegin University;Turkey;Normal
Investigation of the effects surface alteration via coatings on the condensation heat transfer and wettability;https://open-research-europe.ec.europa.eu/articles/4-20;AM Kamalan Kirubaharan;Alexander Dubck University of Trencin;Slovakia;Normal
Investigation of the effects surface alteration via coatings on the condensation heat transfer and wettability;https://open-research-europe.ec.europa.eu/articles/4-20;Soumyadip Sett;Indian Institute of Technology Gandhinagar;India;Normal
Co-occurrence of behavioural risk factors for non-communicable diseases among 40-year and above aged community members in three regions of Myanmar;https://open-research-europe.ec.europa.eu/articles/3-77;May Soe Aung;University of Medicine 1;Myanmar;Normal
Co-occurrence of behavioural risk factors for non-communicable diseases among 40-year and above aged community members in three regions of Myanmar;https://open-research-europe.ec.europa.eu/articles/3-77;Sathish Thirunavukkarasu;Emory University;USA;Normal
Controlling the environment with Artificial Intelligence risks intensifying social inequalities and colonization;https://open-research-europe.ec.europa.eu/articles/4-16;Loveleen Gaur;The University of the South Pacific;Fiji;Normal
Controlling the environment with Artificial Intelligence risks intensifying social inequalities and colonization;https://open-research-europe.ec.europa.eu/articles/4-16;Ross Boyd;University of South Australia;Australia;Normal
Genealogy, critique, and decolonization: Ibn Khaldun and moving beyond filling the gaps;https://open-research-europe.ec.europa.eu/articles/4-14;Alaka Wali;Field Museum;USA;Normal
Genealogy, critique, and decolonization: Ibn Khaldun and moving beyond filling the gaps;https://open-research-europe.ec.europa.eu/articles/4-14;Gennaro Ascione;Universita degli Studi di Napoli L'Orientale;Italy;Normal
