题目;链接;Version编号;Version时间;Reviewer编号;状态
Experimental Modelling of Water-Wave Interactions with a Flexible Beam;https://open-research-europe.ec.europa.eu/articles/4-229;Version 1;2024-10-18;2;Approved
Navigating the complex policy landscape for carbon farming in The Netherlands and the EU;https://open-research-europe.ec.europa.eu/articles/4-228;Version 1;2024-10-18;1;Approved with Reservations
Navigating the complex policy landscape for carbon farming in The Netherlands and the EU;https://open-research-europe.ec.europa.eu/articles/4-228;Version 1;2024-10-18;2;Not Approved
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections;https://open-research-europe.ec.europa.eu/articles/4-227/v1;Version 1;2024-10-18;1;Approved with Reservations
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections;https://open-research-europe.ec.europa.eu/articles/4-227/v1;Version 1;2024-10-18;2;Approved with Reservations
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections;https://open-research-europe.ec.europa.eu/articles/4-227/v1;Version 1;2024-10-18;3;Not Approved
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections;https://open-research-europe.ec.europa.eu/articles/4-227/v1;Version 1;2024-10-18;4;Approved with Reservations
Targeting deeply-sourced seeps along the Central Volcanic Zone;https://open-research-europe.ec.europa.eu/articles/4-226/v1;Version 1;2024-10-18;1;Approved
Targeting deeply-sourced seeps along the Central Volcanic Zone;https://open-research-europe.ec.europa.eu/articles/4-226/v1;Version 1;2024-10-18;2;Approved with Reservations
Targeting deeply-sourced seeps along the Central Volcanic Zone;https://open-research-europe.ec.europa.eu/articles/4-226/v1;Version 1;2024-10-18;3;Approved
Dynamic participation in local energy communities with peer-to-peer trading;https://open-research-europe.ec.europa.eu/articles/2-5;Version 2;2024-10-18;1;
Dynamic participation in local energy communities with peer-to-peer trading;https://open-research-europe.ec.europa.eu/articles/2-5;Version 2;2024-10-18;2;
Dynamic participation in local energy communities with peer-to-peer trading;https://open-research-europe.ec.europa.eu/articles/2-5;Version 2;2024-10-18;3;Approved
Dynamic participation in local energy communities with peer-to-peer trading;https://open-research-europe.ec.europa.eu/articles/2-5;Version 2;2024-10-18;4;
Dynamic participation in local energy communities with peer-to-peer trading;https://open-research-europe.ec.europa.eu/articles/2-5;Version 1;2022-01-11;1;Approved
Dynamic participation in local energy communities with peer-to-peer trading;https://open-research-europe.ec.europa.eu/articles/2-5;Version 1;2022-01-11;2;Approved with Reservations
Dynamic participation in local energy communities with peer-to-peer trading;https://open-research-europe.ec.europa.eu/articles/2-5;Version 1;2022-01-11;3;Approved with Reservations
Dynamic participation in local energy communities with peer-to-peer trading;https://open-research-europe.ec.europa.eu/articles/2-5;Version 1;2022-01-11;4;Approved
Prospective versus retrospective: a simple matter of timing?;https://open-research-europe.ec.europa.eu/articles/4-225;Version 1;2024-10-18;1;Approved with Reservations
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;Version 2;2024-10-18;1;
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;Version 2;2024-10-18;2;Approved
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;Version 2;2024-10-18;3;Approved
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;Version 2;2024-10-18;4;Not Approved
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;Version 2;2024-10-18;5;Approved
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;Version 1;2024-07-02;1;Approved with Reservations
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;Version 1;2024-07-02;2;Approved with Reservations
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;Version 1;2024-07-02;3;Approved with Reservations
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;Version 1;2024-07-02;4;
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;Version 1;2024-07-02;5;
The pregnancy-associated secretome in malaria pathogenesis and immunity during gestation;https://open-research-europe.ec.europa.eu/articles/4-224/v1;Version 1;2024-10-17;1;Approved
The pregnancy-associated secretome in malaria pathogenesis and immunity during gestation;https://open-research-europe.ec.europa.eu/articles/4-224/v1;Version 1;2024-10-17;2;Not Approved
The pregnancy-associated secretome in malaria pathogenesis and immunity during gestation;https://open-research-europe.ec.europa.eu/articles/4-224/v1;Version 1;2024-10-17;3;Not Approved
The pregnancy-associated secretome in malaria pathogenesis and immunity during gestation;https://open-research-europe.ec.europa.eu/articles/4-224/v1;Version 1;2024-10-17;4;Approved with Reservations
Digital marketplaces in European research landscape: A systematic literature review;https://open-research-europe.ec.europa.eu/articles/4-223;Version 1;2024-10-17;1;Approved with Reservations
Digital marketplaces in European research landscape: A systematic literature review;https://open-research-europe.ec.europa.eu/articles/4-223;Version 1;2024-10-17;2;Approved
Digital marketplaces in European research landscape: A systematic literature review;https://open-research-europe.ec.europa.eu/articles/4-223;Version 1;2024-10-17;3;Approved with Reservations
Natural sea water and artificial sea water are not equivalent in plastic leachate contamination studies;https://open-research-europe.ec.europa.eu/articles/4-59;Version 3;2024-10-17;1;Approved
Natural sea water and artificial sea water are not equivalent in plastic leachate contamination studies;https://open-research-europe.ec.europa.eu/articles/4-59;Version 3;2024-10-17;2;
Natural sea water and artificial sea water are not equivalent in plastic leachate contamination studies;https://open-research-europe.ec.europa.eu/articles/4-59;Version 3;2024-10-17;3;
Natural sea water and artificial sea water are not equivalent in plastic leachate contamination studies;https://open-research-europe.ec.europa.eu/articles/4-59;Version 2;2024-08-05;1;Approved with Reservations
Natural sea water and artificial sea water are not equivalent in plastic leachate contamination studies;https://open-research-europe.ec.europa.eu/articles/4-59;Version 2;2024-08-05;2;Approved
Natural sea water and artificial sea water are not equivalent in plastic leachate contamination studies;https://open-research-europe.ec.europa.eu/articles/4-59;Version 2;2024-08-05;3;Approved with Reservations
Natural sea water and artificial sea water are not equivalent in plastic leachate contamination studies;https://open-research-europe.ec.europa.eu/articles/4-59;Version 1;2024-03-21;1;Approved with Reservations
Natural sea water and artificial sea water are not equivalent in plastic leachate contamination studies;https://open-research-europe.ec.europa.eu/articles/4-59;Version 1;2024-03-21;2;Approved with Reservations
Natural sea water and artificial sea water are not equivalent in plastic leachate contamination studies;https://open-research-europe.ec.europa.eu/articles/4-59;Version 1;2024-03-21;3;
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;Version 2;2024-10-17;1;
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;Version 2;2024-10-17;2;
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;Version 2;2024-10-17;3;
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;Version 2;2024-10-17;4;Approved
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;Version 2;2024-10-17;5;
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;Version 1;2023-12-29;1;Not Approved
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;Version 1;2023-12-29;2;Approved
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;Version 1;2023-12-29;3;Approved with Reservations
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;Version 1;2023-12-29;4;Not Approved
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;Version 1;2023-12-29;5;Approved with Reservations
Safefood4eu: An interdisciplinary approach on education for sustainable agri-food systems in Europe;https://open-research-europe.ec.europa.eu/articles/4-222;Version 1;2024-10-17;1;Not Approved
Safefood4eu: An interdisciplinary approach on education for sustainable agri-food systems in Europe;https://open-research-europe.ec.europa.eu/articles/4-222;Version 1;2024-10-17;2;Not Approved
Safefood4eu: An interdisciplinary approach on education for sustainable agri-food systems in Europe;https://open-research-europe.ec.europa.eu/articles/4-222;Version 1;2024-10-17;3;Not Approved
Network for forest by-products charcoal, resin, tar, potash (COST Action EU-PoTaRCh);https://open-research-europe.ec.europa.eu/articles/4-176/v1;Version 2;2024-10-17;1;Approved
Network for forest by-products charcoal, resin, tar, potash (COST Action EU-PoTaRCh);https://open-research-europe.ec.europa.eu/articles/4-176/v1;Version 2;2024-10-17;2;
Network for forest by-products charcoal, resin, tar, potash (COST Action EU-PoTaRCh);https://open-research-europe.ec.europa.eu/articles/4-176/v1;Version 2;2024-10-17;3;Approved with Reservations
Network for forest by-products charcoal, resin, tar, potash (COST Action EU-PoTaRCh);https://open-research-europe.ec.europa.eu/articles/4-176/v1;Version 2;2024-10-17;4;Approved with Reservations
Network for forest by-products charcoal, resin, tar, potash (COST Action EU-PoTaRCh);https://open-research-europe.ec.europa.eu/articles/4-176/v1;Version 1;2024-08-13;1;Approved with Reservations
Network for forest by-products charcoal, resin, tar, potash (COST Action EU-PoTaRCh);https://open-research-europe.ec.europa.eu/articles/4-176/v1;Version 1;2024-08-13;2;Approved
Network for forest by-products charcoal, resin, tar, potash (COST Action EU-PoTaRCh);https://open-research-europe.ec.europa.eu/articles/4-176/v1;Version 1;2024-08-13;3;
Network for forest by-products charcoal, resin, tar, potash (COST Action EU-PoTaRCh);https://open-research-europe.ec.europa.eu/articles/4-176/v1;Version 1;2024-08-13;4;
Common errors in Generative AI systems used for knowledge extraction in the climate action domain;https://open-research-europe.ec.europa.eu/articles/4-221;Version 1;2024-10-16;1;Approved with Reservations
Common errors in Generative AI systems used for knowledge extraction in the climate action domain;https://open-research-europe.ec.europa.eu/articles/4-221;Version 1;2024-10-16;2;Approved
Exploring self-care and self-development practices among refugee adolescents through photos: An art-based participatory qualitative study;https://open-research-europe.ec.europa.eu/articles/4-219;Version 1;2024-10-15;1;Approved with Reservations
Exploring self-care and self-development practices among refugee adolescents through photos: An art-based participatory qualitative study;https://open-research-europe.ec.europa.eu/articles/4-219;Version 1;2024-10-15;2;Approved with Reservations
Railway security checks at the border: between intrusive security technologies and fundamental traveller rights;https://open-research-europe.ec.europa.eu/articles/4-138;Version 2;2024-10-15;1;Approved
Railway security checks at the border: between intrusive security technologies and fundamental traveller rights;https://open-research-europe.ec.europa.eu/articles/4-138;Version 2;2024-10-15;2;Approved
Railway security checks at the border: between intrusive security technologies and fundamental traveller rights;https://open-research-europe.ec.europa.eu/articles/4-138;Version 1;2024-07-09;1;Approved with Reservations
Railway security checks at the border: between intrusive security technologies and fundamental traveller rights;https://open-research-europe.ec.europa.eu/articles/4-138;Version 1;2024-07-09;2;Approved with Reservations
Drying out fish ponds, for an entire growth season, as an agroecological practice: maintaining primary producers for fish production and biodiversity conservation;https://open-research-europe.ec.europa.eu/articles/3-125;Version 2;2024-10-15;1;Approved
Drying out fish ponds, for an entire growth season, as an agroecological practice: maintaining primary producers for fish production and biodiversity conservation;https://open-research-europe.ec.europa.eu/articles/3-125;Version 2;2024-10-15;2;Approved
Drying out fish ponds, for an entire growth season, as an agroecological practice: maintaining primary producers for fish production and biodiversity conservation;https://open-research-europe.ec.europa.eu/articles/3-125;Version 2;2024-10-15;3;Approved with Reservations
Drying out fish ponds, for an entire growth season, as an agroecological practice: maintaining primary producers for fish production and biodiversity conservation;https://open-research-europe.ec.europa.eu/articles/3-125;Version 1;2023-08-18;1;Approved with Reservations
Drying out fish ponds, for an entire growth season, as an agroecological practice: maintaining primary producers for fish production and biodiversity conservation;https://open-research-europe.ec.europa.eu/articles/3-125;Version 1;2023-08-18;2;Approved with Reservations
Drying out fish ponds, for an entire growth season, as an agroecological practice: maintaining primary producers for fish production and biodiversity conservation;https://open-research-europe.ec.europa.eu/articles/3-125;Version 1;2023-08-18;3;
Ex-vivo evaluation of Plasmodium falciparum-induced cytokine expression in chronic hepatitis B virus-infected and uninfected individuals;https://open-research-europe.ec.europa.eu/articles/4-218/v1;Version 1;2024-10-15;1;Approved with Reservations
Collaborative design approach to identify research and innovation needs within the European smart building community;https://open-research-europe.ec.europa.eu/articles/3-36/v1;Version 2;2024-10-15;1;
Collaborative design approach to identify research and innovation needs within the European smart building community;https://open-research-europe.ec.europa.eu/articles/3-36/v1;Version 2;2024-10-15;2;Approved
Collaborative design approach to identify research and innovation needs within the European smart building community;https://open-research-europe.ec.europa.eu/articles/3-36/v1;Version 1;2023-02-20;1;Approved
Collaborative design approach to identify research and innovation needs within the European smart building community;https://open-research-europe.ec.europa.eu/articles/3-36/v1;Version 1;2023-02-20;2;Approved with Reservations
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica;https://open-research-europe.ec.europa.eu/articles/4-30;Version 2;2024-10-15;1;
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica;https://open-research-europe.ec.europa.eu/articles/4-30;Version 2;2024-10-15;2;Approved
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica;https://open-research-europe.ec.europa.eu/articles/4-30;Version 2;2024-10-15;3;Approved with Reservations
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica;https://open-research-europe.ec.europa.eu/articles/4-30;Version 2;2024-10-15;4;Approved with Reservations
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica;https://open-research-europe.ec.europa.eu/articles/4-30;Version 1;2024-02-16;1;Not Approved
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica;https://open-research-europe.ec.europa.eu/articles/4-30;Version 1;2024-02-16;2;Approved with Reservations
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica;https://open-research-europe.ec.europa.eu/articles/4-30;Version 1;2024-02-16;3;
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica;https://open-research-europe.ec.europa.eu/articles/4-30;Version 1;2024-02-16;4;
Workplace mental health promotion in a large state organization: Perceived needs, expected effects, neglected side effects;https://open-research-europe.ec.europa.eu/articles/1-17;Version 2;2024-10-15;1;Approved
Workplace mental health promotion in a large state organization: Perceived needs, expected effects, neglected side effects;https://open-research-europe.ec.europa.eu/articles/1-17;Version 2;2024-10-15;2;
Workplace mental health promotion in a large state organization: Perceived needs, expected effects, neglected side effects;https://open-research-europe.ec.europa.eu/articles/1-17;Version 2;2024-10-15;3;Not Approved
Workplace mental health promotion in a large state organization: Perceived needs, expected effects, neglected side effects;https://open-research-europe.ec.europa.eu/articles/1-17;Version 2;2024-10-15;4;Approved with Reservations
Workplace mental health promotion in a large state organization: Perceived needs, expected effects, neglected side effects;https://open-research-europe.ec.europa.eu/articles/1-17;Version 2;2024-10-15;5;Approved with Reservations
Workplace mental health promotion in a large state organization: Perceived needs, expected effects, neglected side effects;https://open-research-europe.ec.europa.eu/articles/1-17;Version 1;2021-03-24;1;Approved with Reservations
Workplace mental health promotion in a large state organization: Perceived needs, expected effects, neglected side effects;https://open-research-europe.ec.europa.eu/articles/1-17;Version 1;2021-03-24;2;Approved with Reservations
Workplace mental health promotion in a large state organization: Perceived needs, expected effects, neglected side effects;https://open-research-europe.ec.europa.eu/articles/1-17;Version 1;2021-03-24;3;
Workplace mental health promotion in a large state organization: Perceived needs, expected effects, neglected side effects;https://open-research-europe.ec.europa.eu/articles/1-17;Version 1;2021-03-24;4;
Workplace mental health promotion in a large state organization: Perceived needs, expected effects, neglected side effects;https://open-research-europe.ec.europa.eu/articles/1-17;Version 1;2021-03-24;5;
How physical activity opportunities seized by adolescents differ between Europe and the Pacific Islands: the example of France and New Caledonia;https://open-research-europe.ec.europa.eu/articles/4-217;Version 1;2024-10-15;1;Approved
How physical activity opportunities seized by adolescents differ between Europe and the Pacific Islands: the example of France and New Caledonia;https://open-research-europe.ec.europa.eu/articles/4-217;Version 1;2024-10-15;2;Approved
The “Archeology of the Light”:  A multiproxy, interdisciplinary and experimental approach to Paleolithic subterranean activities.;https://open-research-europe.ec.europa.eu/articles/4-216;Version 1;2024-10-14;1;Approved with Reservations
The “Archeology of the Light”:  A multiproxy, interdisciplinary and experimental approach to Paleolithic subterranean activities.;https://open-research-europe.ec.europa.eu/articles/4-216;Version 1;2024-10-14;2;Approved with Reservations
The “Archeology of the Light”:  A multiproxy, interdisciplinary and experimental approach to Paleolithic subterranean activities.;https://open-research-europe.ec.europa.eu/articles/4-216;Version 1;2024-10-14;3;Approved with Reservations
Vitality structures in ‘addictive’ game design;https://open-research-europe.ec.europa.eu/articles/4-47;Version 2;2024-10-14;1;Approved
Vitality structures in ‘addictive’ game design;https://open-research-europe.ec.europa.eu/articles/4-47;Version 2;2024-10-14;2;
Vitality structures in ‘addictive’ game design;https://open-research-europe.ec.europa.eu/articles/4-47;Version 2;2024-10-14;3;
Vitality structures in ‘addictive’ game design;https://open-research-europe.ec.europa.eu/articles/4-47;Version 2;2024-10-14;4;
Vitality structures in ‘addictive’ game design;https://open-research-europe.ec.europa.eu/articles/4-47;Version 1;2024-03-01;1;Approved with Reservations
Vitality structures in ‘addictive’ game design;https://open-research-europe.ec.europa.eu/articles/4-47;Version 1;2024-03-01;2;Not Approved
Vitality structures in ‘addictive’ game design;https://open-research-europe.ec.europa.eu/articles/4-47;Version 1;2024-03-01;3;Approved
Vitality structures in ‘addictive’ game design;https://open-research-europe.ec.europa.eu/articles/4-47;Version 1;2024-03-01;4;Approved with Reservations
ELSMOR – towards European Licensing of Small Modular Reactors: Methodology recommendations for light-water small modular reactors safety assessment;https://open-research-europe.ec.europa.eu/articles/3-158/v2;Version 2;2024-10-14;1;
ELSMOR – towards European Licensing of Small Modular Reactors: Methodology recommendations for light-water small modular reactors safety assessment;https://open-research-europe.ec.europa.eu/articles/3-158/v2;Version 2;2024-10-14;2;
ELSMOR – towards European Licensing of Small Modular Reactors: Methodology recommendations for light-water small modular reactors safety assessment;https://open-research-europe.ec.europa.eu/articles/3-158/v2;Version 2;2024-10-14;3;Approved
ELSMOR – towards European Licensing of Small Modular Reactors: Methodology recommendations for light-water small modular reactors safety assessment;https://open-research-europe.ec.europa.eu/articles/3-158/v2;Version 2;2024-10-14;4;
ELSMOR – towards European Licensing of Small Modular Reactors: Methodology recommendations for light-water small modular reactors safety assessment;https://open-research-europe.ec.europa.eu/articles/3-158/v2;Version 2;2024-10-14;5;Approved
ELSMOR – towards European Licensing of Small Modular Reactors: Methodology recommendations for light-water small modular reactors safety assessment;https://open-research-europe.ec.europa.eu/articles/3-158/v2;Version 1;2023-09-21;1;Approved with Reservations
ELSMOR – towards European Licensing of Small Modular Reactors: Methodology recommendations for light-water small modular reactors safety assessment;https://open-research-europe.ec.europa.eu/articles/3-158/v2;Version 1;2023-09-21;2;Approved with Reservations
ELSMOR – towards European Licensing of Small Modular Reactors: Methodology recommendations for light-water small modular reactors safety assessment;https://open-research-europe.ec.europa.eu/articles/3-158/v2;Version 1;2023-09-21;3;Approved with Reservations
ELSMOR – towards European Licensing of Small Modular Reactors: Methodology recommendations for light-water small modular reactors safety assessment;https://open-research-europe.ec.europa.eu/articles/3-158/v2;Version 1;2023-09-21;4;Approved with Reservations
ELSMOR – towards European Licensing of Small Modular Reactors: Methodology recommendations for light-water small modular reactors safety assessment;https://open-research-europe.ec.europa.eu/articles/3-158/v2;Version 1;2023-09-21;5;Approved with Reservations
Profiling of linear B-cell epitopes against human coronaviruses in pooled sera sampled early in the COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-215;Version 1;2024-10-11;1;Approved with Reservations
Linking the ECRIN Metadata Repository with the BBMRI-ERIC Directory to connect clinical studies with related biobanks and collections;https://open-research-europe.ec.europa.eu/articles/4-50/v2;Version 2;2024-10-07;1;Approved
Linking the ECRIN Metadata Repository with the BBMRI-ERIC Directory to connect clinical studies with related biobanks and collections;https://open-research-europe.ec.europa.eu/articles/4-50/v2;Version 2;2024-10-07;2;Approved
Linking the ECRIN Metadata Repository with the BBMRI-ERIC Directory to connect clinical studies with related biobanks and collections;https://open-research-europe.ec.europa.eu/articles/4-50/v2;Version 2;2024-10-07;3;
Linking the ECRIN Metadata Repository with the BBMRI-ERIC Directory to connect clinical studies with related biobanks and collections;https://open-research-europe.ec.europa.eu/articles/4-50/v2;Version 1;2024-03-04;1;Approved with Reservations
Linking the ECRIN Metadata Repository with the BBMRI-ERIC Directory to connect clinical studies with related biobanks and collections;https://open-research-europe.ec.europa.eu/articles/4-50/v2;Version 1;2024-03-04;2;Approved with Reservations
Linking the ECRIN Metadata Repository with the BBMRI-ERIC Directory to connect clinical studies with related biobanks and collections;https://open-research-europe.ec.europa.eu/articles/4-50/v2;Version 1;2024-03-04;3;Approved with Reservations
Comparative study on scenarios for rotating gantry mechanical structures;https://open-research-europe.ec.europa.eu/articles/2-55;Version 4;2024-10-07;1;
Comparative study on scenarios for rotating gantry mechanical structures;https://open-research-europe.ec.europa.eu/articles/2-55;Version 4;2024-10-07;2;Approved
Comparative study on scenarios for rotating gantry mechanical structures;https://open-research-europe.ec.europa.eu/articles/2-55;Version 3;2023-06-27;1;
Comparative study on scenarios for rotating gantry mechanical structures;https://open-research-europe.ec.europa.eu/articles/2-55;Version 3;2023-06-27;2;Approved with Reservations
Comparative study on scenarios for rotating gantry mechanical structures;https://open-research-europe.ec.europa.eu/articles/2-55;Version 2;2023-03-22;1;
Comparative study on scenarios for rotating gantry mechanical structures;https://open-research-europe.ec.europa.eu/articles/2-55;Version 2;2023-03-22;2;Approved with Reservations
Comparative study on scenarios for rotating gantry mechanical structures;https://open-research-europe.ec.europa.eu/articles/2-55;Version 1;2022-05-06;1;Approved
Comparative study on scenarios for rotating gantry mechanical structures;https://open-research-europe.ec.europa.eu/articles/2-55;Version 1;2022-05-06;2;
COVID-19 and (ir)responsible (im)mobility: Reading counter-practices through Levinas and Derrida;https://open-research-europe.ec.europa.eu/articles/4-2;Version 2;2024-10-07;1;
COVID-19 and (ir)responsible (im)mobility: Reading counter-practices through Levinas and Derrida;https://open-research-europe.ec.europa.eu/articles/4-2;Version 2;2024-10-07;2;Approved
COVID-19 and (ir)responsible (im)mobility: Reading counter-practices through Levinas and Derrida;https://open-research-europe.ec.europa.eu/articles/4-2;Version 2;2024-10-07;3;Approved
COVID-19 and (ir)responsible (im)mobility: Reading counter-practices through Levinas and Derrida;https://open-research-europe.ec.europa.eu/articles/4-2;Version 1;2024-01-03;1;Approved with Reservations
COVID-19 and (ir)responsible (im)mobility: Reading counter-practices through Levinas and Derrida;https://open-research-europe.ec.europa.eu/articles/4-2;Version 1;2024-01-03;2;Approved with Reservations
COVID-19 and (ir)responsible (im)mobility: Reading counter-practices through Levinas and Derrida;https://open-research-europe.ec.europa.eu/articles/4-2;Version 1;2024-01-03;3;Approved with Reservations
Mapping secondary data gaps for social simulation modelling: A case study of the journeys of Syrian asylum seekers to Europe;https://open-research-europe.ec.europa.eu/articles/3-216/v1;Version 2;2024-10-07;1;Approved
Mapping secondary data gaps for social simulation modelling: A case study of the journeys of Syrian asylum seekers to Europe;https://open-research-europe.ec.europa.eu/articles/3-216/v1;Version 2;2024-10-07;2;
Mapping secondary data gaps for social simulation modelling: A case study of the journeys of Syrian asylum seekers to Europe;https://open-research-europe.ec.europa.eu/articles/3-216/v1;Version 2;2024-10-07;3;
Mapping secondary data gaps for social simulation modelling: A case study of the journeys of Syrian asylum seekers to Europe;https://open-research-europe.ec.europa.eu/articles/3-216/v1;Version 2;2024-10-07;4;
Mapping secondary data gaps for social simulation modelling: A case study of the journeys of Syrian asylum seekers to Europe;https://open-research-europe.ec.europa.eu/articles/3-216/v1;Version 1;2023-12-08;1;Approved with Reservations
Mapping secondary data gaps for social simulation modelling: A case study of the journeys of Syrian asylum seekers to Europe;https://open-research-europe.ec.europa.eu/articles/3-216/v1;Version 1;2023-12-08;2;Approved with Reservations
Mapping secondary data gaps for social simulation modelling: A case study of the journeys of Syrian asylum seekers to Europe;https://open-research-europe.ec.europa.eu/articles/3-216/v1;Version 1;2023-12-08;3;Approved
Mapping secondary data gaps for social simulation modelling: A case study of the journeys of Syrian asylum seekers to Europe;https://open-research-europe.ec.europa.eu/articles/3-216/v1;Version 1;2023-12-08;4;Approved
Impact and evaluation report of the DTA3/COFUND programme;https://open-research-europe.ec.europa.eu/articles/4-211;Version 1;2024-10-07;1;Approved with Reservations
Impact and evaluation report of the DTA3/COFUND programme;https://open-research-europe.ec.europa.eu/articles/4-211;Version 1;2024-10-07;2;Not Approved
Impact and evaluation report of the DTA3/COFUND programme;https://open-research-europe.ec.europa.eu/articles/4-211;Version 1;2024-10-07;3;Approved with Reservations
On the Billefjorden fault zone in Garmdalen, central Spitsbergen: implications for the mapping of major fault zones during geological fieldwork and for the tectonic history of Svalbard;https://open-research-europe.ec.europa.eu/articles/4-147;Version 2;2024-10-02;1;Approved
On the Billefjorden fault zone in Garmdalen, central Spitsbergen: implications for the mapping of major fault zones during geological fieldwork and for the tectonic history of Svalbard;https://open-research-europe.ec.europa.eu/articles/4-147;Version 2;2024-10-02;2;
On the Billefjorden fault zone in Garmdalen, central Spitsbergen: implications for the mapping of major fault zones during geological fieldwork and for the tectonic history of Svalbard;https://open-research-europe.ec.europa.eu/articles/4-147;Version 2;2024-10-02;3;Approved
On the Billefjorden fault zone in Garmdalen, central Spitsbergen: implications for the mapping of major fault zones during geological fieldwork and for the tectonic history of Svalbard;https://open-research-europe.ec.europa.eu/articles/4-147;Version 1;2024-07-12;1;Approved
On the Billefjorden fault zone in Garmdalen, central Spitsbergen: implications for the mapping of major fault zones during geological fieldwork and for the tectonic history of Svalbard;https://open-research-europe.ec.europa.eu/articles/4-147;Version 1;2024-07-12;2;Approved with Reservations
On the Billefjorden fault zone in Garmdalen, central Spitsbergen: implications for the mapping of major fault zones during geological fieldwork and for the tectonic history of Svalbard;https://open-research-europe.ec.europa.eu/articles/4-147;Version 1;2024-07-12;3;
Algorithm for Key Transparency with Transparent Logs;https://open-research-europe.ec.europa.eu/articles/4-163;Version 2;2024-10-02;1;
Algorithm for Key Transparency with Transparent Logs;https://open-research-europe.ec.europa.eu/articles/4-163;Version 2;2024-10-02;2;Approved
Algorithm for Key Transparency with Transparent Logs;https://open-research-europe.ec.europa.eu/articles/4-163;Version 2;2024-10-02;3;Not Approved
Algorithm for Key Transparency with Transparent Logs;https://open-research-europe.ec.europa.eu/articles/4-163;Version 2;2024-10-02;4;Approved
Algorithm for Key Transparency with Transparent Logs;https://open-research-europe.ec.europa.eu/articles/4-163;Version 1;2024-08-05;1;Approved with Reservations
Algorithm for Key Transparency with Transparent Logs;https://open-research-europe.ec.europa.eu/articles/4-163;Version 1;2024-08-05;2;Approved with Reservations
